"species";"date";"obs_id";"obs_letter";"quadrat_num";"count_30s";"count_1m";"counting_time_1m";"count_cells";"counting_time_cells";"count_TRUE";"prop_30s";"prop_1m";"prop_cells";"quadrat_order_30s";"quadrat_order_1m";"quadrat_order_cells"
"PLALAN";2020-10-07;"obs_jdpu";"C";"quadrat5";56;66;90;174;525;161;0,347826086956522;0,409937888198758;1,08074534161491;3;1;4
"PLALAN";2020-10-07;"obs_jdpu";"C";"quadrat6";80;106;90;129;390;126;0,634920634920635;0,841269841269841;1,02380952380952;4;7;2
"PLALAN";2020-10-07;"obs_jdpu";"C";"quadrat7";35;173;180;233;610;240;0,145833333333333;0,720833333333333;0,970833333333333;5;5;3
"PLALAN";2020-10-07;"obs_jdpu";"C";"quadrat8";0;2;135;0;150;1;0;2;0;6;9;8
"PLALAN";2020-10-07;"obs_jdpu";"C";"quadrat9";100;155;160;198;540;209;0,478468899521531;0,741626794258373;0,947368421052632;7;8;10
"PLALAN";2020-10-07;"obs_jdpu";"C";"quadrat10";20;42;135;48;430;48;0,416666666666667;0,875;1;8;10;6
"PLALAN";2020-10-07;"obs_xbmp";"E";"quadrat1";9;12;84;18;285;19;0,473684210526316;0,631578947368421;0,947368421052632;7;1;5
"PLALAN";2020-10-07;"obs_xbmp";"E";"quadrat2";37;121;250;118;546;197;0,187817258883249;0,614213197969543;0,598984771573604;8;2;7
"PLALAN";2020-10-07;"obs_xbmp";"E";"quadrat3";1;3;127;9;420;11;0,0909090909090909;0,272727272727273;0,818181818181818;9;10;3
"PLALAN";2020-10-07;"obs_xbmp";"E";"quadrat4";44;56;107;59;269;84;0,523809523809524;0,666666666666667;0,702380952380952;10;4;9
"PLALAN";2020-10-07;"obs_xbmp";"E";"quadrat5";46;66;73;124;685;161;0,285714285714286;0,409937888198758;0,770186335403727;1;9;2
"PLALAN";2020-10-07;"obs_xbmp";"E";"quadrat6";58;100;125;97;282;126;0,46031746031746;0,793650793650794;0,76984126984127;2;5;10
"PLALAN";2020-10-07;"obs_xbmp";"E";"quadrat7";56;127;221;180;634;240;0,233333333333333;0,529166666666667;0,75;3;3;1
"PLALAN";2020-10-07;"obs_xbmp";"E";"quadrat8";0;2;210;3;255;1;0;2;3;4;7;6
"PLALAN";2020-10-07;"obs_xbmp";"E";"quadrat9";65;130;170;162;470;209;0,311004784688995;0,62200956937799;0,77511961722488;5;6;8
"PLALAN";2020-10-07;"obs_xbmp";"E";"quadrat10";24;33;83;51;482;48;0,5;0,6875;1,0625;6;8;4
"PLALAN";2020-10-07;"obs_ikoz";"G";"quadrat1";12;12;40;10;160;19;0,631578947368421;0,631578947368421;0,526315789473684;5;9;3
"PLALAN";2020-10-07;"obs_ikoz";"G";"quadrat2";57;76;100;57;340;197;0,289340101522843;0,385786802030457;0,289340101522843;6;10;5
"PLALAN";2020-10-07;"obs_ikoz";"G";"quadrat3";0;0;39;0;40;11;0;0;0;7;8;1
"PLALAN";2020-10-07;"obs_ikoz";"G";"quadrat4";39;49;40;48;219;84;0,464285714285714;0,583333333333333;0,571428571428571;8;2;7
"PLALAN";2020-10-07;"obs_ikoz";"G";"quadrat5";40;64;58;45;213;161;0,248447204968944;0,397515527950311;0,279503105590062;9;7;10
"PLALAN";2020-10-07;"obs_ikoz";"G";"quadrat6";67;66;55;84;360;126;0,531746031746032;0,523809523809524;0,666666666666667;10;3;8
"PLALAN";2020-10-07;"obs_ikoz";"G";"quadrat7";70;135;94;68;200;240;0,291666666666667;0,5625;0,283333333333333;1;1;9
"PLALAN";2020-10-07;"obs_ikoz";"G";"quadrat8";9;0;80;0;108;1;9;0;0;2;5;4
"PLALAN";2020-10-07;"obs_ikoz";"G";"quadrat9";80;96;60;108;288;209;0,382775119617225;0,45933014354067;0,516746411483254;3;4;6
"PLALAN";2020-10-07;"obs_ikoz";"G";"quadrat10";21;26;52;21;230;48;0,4375;0,541666666666667;0,4375;4;6;2
"PLALAN";2020-10-07;"obs_sjfy";"B";"quadrat1";11;11;80;11;241;19;0,578947368421053;0,578947368421053;0,578947368421053;10;4;8
"PLALAN";2020-10-07;"obs_sjfy";"B";"quadrat2";40;66;130;69;384;197;0,203045685279188;0,33502538071066;0,350253807106599;1;5;10
"PLALAN";2020-10-07;"obs_sjfy";"B";"quadrat3";1;2;110;0;187;11;0,0909090909090909;0,181818181818182;0;2;3;6
"PLALAN";2020-10-07;"obs_sjfy";"B";"quadrat4";43;52;74;60;556;84;0,511904761904762;0,619047619047619;0,714285714285714;3;7;2
"PLALAN";2020-10-07;"obs_sjfy";"B";"quadrat5";47;53;78;68;390;161;0,291925465838509;0,329192546583851;0,422360248447205;4;2;5
"PLALAN";2020-10-07;"obs_sjfy";"B";"quadrat6";69;93;75;102;409;126;0,547619047619048;0,738095238095238;0,80952380952381;5;8;3
"PLALAN";2020-10-07;"obs_sjfy";"B";"quadrat7";39;110;133;102;433;240;0,1625;0,458333333333333;0,425;6;6;4
"PLALAN";2020-10-07;"obs_sjfy";"B";"quadrat8";1;1;131;0;135;1;1;1;0;7;10;9
"PLALAN";2020-10-07;"obs_sjfy";"B";"quadrat9";59;111;106;26;690;209;0,282296650717703;0,5311004784689;0,124401913875598;8;9;1
"PLALAN";2020-10-07;"obs_sjfy";"B";"quadrat10";21;23;80;11;300;48;0,4375;0,479166666666667;0,229166666666667;9;1;7
"PLALAN";2020-10-07;"obs_ntdg";"I";"quadrat1";9;11;63;14;497;19;0,473684210526316;0,578947368421053;0,736842105263158;3;7;1
"PLALAN";2020-10-07;"obs_ntdg";"I";"quadrat2";25;70;129;148;1101;197;0,126903553299492;0,355329949238579;0,751269035532995;4;8;3
"PLALAN";2020-10-07;"obs_ntdg";"I";"quadrat3";0;0;56;0;133;11;0;0;0;5;6;9
"PLALAN";2020-10-07;"obs_ntdg";"I";"quadrat4";33;53;73;64;690;84;0,392857142857143;0,630952380952381;0,761904761904762;6;10;5
"PLALAN";2020-10-07;"obs_ntdg";"I";"quadrat5";50;60;73;70;340;161;0,31055900621118;0,372670807453416;0,434782608695652;7;5;8
"PLALAN";2020-10-07;"obs_ntdg";"I";"quadrat6";50;88;105;95;710;126;0,396825396825397;0,698412698412698;0,753968253968254;8;1;6
"PLALAN";2020-10-07;"obs_ntdg";"I";"quadrat7";45;119;133;121;480;240;0,1875;0,495833333333333;0,504166666666667;9;9;7
"PLALAN";2020-10-07;"obs_ntdg";"I";"quadrat8";0;1;81;1;364;1;0;1;1;10;3;2
"PLALAN";2020-10-07;"obs_ntdg";"I";"quadrat9";65;109;109;150;882;209;0,311004784688995;0,521531100478469;0,717703349282297;1;2;4
"PLALAN";2020-10-07;"obs_ntdg";"I";"quadrat10";17;23;95;29;349;48;0,354166666666667;0,479166666666667;0,604166666666667;2;4;10
"ALLsp";2020-10-16;"obs_bqiy";"A";"quadrat1";23;22;122;21;401;20;1,15;1,1;1,05;1;5;9
"ALLsp";2020-10-16;"obs_bqiy";"A";"quadrat2";60;108;185;125;627;134;0,447761194029851;0,805970149253731;0,932835820895522;2;6;1
"ALLsp";2020-10-16;"obs_bqiy";"A";"quadrat3";1;1;130;3;214;5;0,2;0,2;0,6;3;4;7
"ALLsp";2020-10-16;"obs_bqiy";"A";"quadrat4";27;33;100;63;714;57;0,473684210526316;0,578947368421053;1,10526315789474;4;8;3
"ALLsp";2020-10-16;"obs_bqiy";"A";"quadrat5";45;59;135;111;1020;99;0,454545454545455;0,595959595959596;1,12121212121212;5;3;6
"ALLsp";2020-10-16;"obs_bqiy";"A";"quadrat6";58;61;110;65;492;63;0,920634920634921;0,968253968253968;1,03174603174603;6;9;4
"ALLsp";2020-10-16;"obs_bqiy";"A";"quadrat7";46;116;191;191;1308;209;0,220095693779904;0,555023923444976;0,913875598086124;7;7;5
"ALLsp";2020-10-16;"obs_bqiy";"A";"quadrat8";5;12;105;0;456;0;Inf;Inf;NA;8;1;10
"ALLsp";2020-10-16;"obs_bqiy";"A";"quadrat9";47;79;144;85;620;82;0,573170731707317;0,963414634146341;1,03658536585366;9;10;2
"ALLsp";2020-10-16;"obs_bqiy";"A";"quadrat10";20;52;165;65;757;60;0,333333333333333;0,866666666666667;1,08333333333333;10;2;8
"ALLsp";2020-10-16;"obs_pimm";"C";"quadrat1";11;14;108;16;190;20;0,55;0,7;0,8;9;3;7
"ALLsp";2020-10-16;"obs_pimm";"C";"quadrat2";18;65;120;105;620;134;0,134328358208955;0,485074626865672;0,783582089552239;10;4;9
"ALLsp";2020-10-16;"obs_pimm";"C";"quadrat3";NA;0;150;0;45;5;NA;0;0;1;2;5
"ALLsp";2020-10-16;"obs_pimm";"C";"quadrat4";10;30;140;21;900;57;0,175438596491228;0,526315789473684;0,368421052631579;2;6;1
"ALLsp";2020-10-16;"obs_pimm";"C";"quadrat5";15;31;165;77;870;99;0,151515151515152;0,313131313131313;0,777777777777778;3;1;4
"ALLsp";2020-10-16;"obs_pimm";"C";"quadrat6";30;27;88;50;300;63;0,476190476190476;0,428571428571429;0,793650793650794;4;7;2
"ALLsp";2020-10-16;"obs_pimm";"C";"quadrat7";15;106;300;128;1282;209;0,0717703349282297;0,507177033492823;0,61244019138756;5;5;3
"ALLsp";2020-10-16;"obs_pimm";"C";"quadrat8";0;0;70;1;51;0;NA;NA;Inf;6;9;8
"ALLsp";2020-10-16;"obs_pimm";"C";"quadrat9";25;58;175;69;679;82;0,304878048780488;0,707317073170732;0,841463414634146;7;8;10
"ALLsp";2020-10-16;"obs_pimm";"C";"quadrat10";13;18;200;40;560;60;0,216666666666667;0,3;0,666666666666667;8;10;6
"ALLsp";2020-10-16;"obs_jaho";"E";"quadrat1";15;41;167;20;340;20;0,75;2,05;1;7;1;5
"ALLsp";2020-10-16;"obs_jaho";"E";"quadrat2";35;69;141;117;540;134;0,261194029850746;0,514925373134328;0,873134328358209;8;2;7
"ALLsp";2020-10-16;"obs_jaho";"E";"quadrat3";0;0;150;1;224;5;0;0;0,2;9;10;3
"ALLsp";2020-10-16;"obs_jaho";"E";"quadrat4";20;87;236;86;652;57;0,350877192982456;1,52631578947368;1,50877192982456;10;4;9
"ALLsp";2020-10-16;"obs_jaho";"E";"quadrat5";55;66;164;93;868;99;0,555555555555556;0,666666666666667;0,939393939393939;1;9;2
"ALLsp";2020-10-16;"obs_jaho";"E";"quadrat6";65;71;161;136;1044;63;1,03174603174603;1,12698412698413;2,15873015873016;2;5;10
"ALLsp";2020-10-16;"obs_jaho";"E";"quadrat7";60;107;250;160;1252;209;0,287081339712919;0,511961722488038;0,76555023923445;3;3;1
"ALLsp";2020-10-16;"obs_jaho";"E";"quadrat8";0;6;91;1;151;0;NA;Inf;Inf;4;7;6
"ALLsp";2020-10-16;"obs_jaho";"E";"quadrat9";40;74;194;87;516;82;0,48780487804878;0,902439024390244;1,0609756097561;5;6;8
"ALLsp";2020-10-16;"obs_jaho";"E";"quadrat10";20;40;136;63;693;60;0,333333333333333;0,666666666666667;1,05;6;8;4
"ALLsp";2020-10-16;"obs_oxup";"G";"quadrat1";17;18;90;15;286;20;0,85;0,9;0,75;5;9;3
"ALLsp";2020-10-16;"obs_oxup";"G";"quadrat2";35;105;292;116;731;134;0,261194029850746;0,783582089552239;0,865671641791045;6;10;5
"ALLsp";2020-10-16;"obs_oxup";"G";"quadrat3";1;2;198;2;421;5;0,2;0,4;0,4;7;8;1
"ALLsp";2020-10-16;"obs_oxup";"G";"quadrat4";25;42;167;49;489;57;0,43859649122807;0,736842105263158;0,859649122807018;8;2;7
"ALLsp";2020-10-16;"obs_oxup";"G";"quadrat5";26;60;159;85;860;99;0,262626262626263;0,606060606060606;0,858585858585859;9;7;10
"ALLsp";2020-10-16;"obs_oxup";"G";"quadrat6";45;49;149;54;665;63;0,714285714285714;0,777777777777778;0,857142857142857;10;3;8
"ALLsp";2020-10-16;"obs_oxup";"G";"quadrat7";31;86;160;155;1210;209;0,148325358851675;0,411483253588517;0,741626794258373;1;1;9
"ALLsp";2020-10-16;"obs_oxup";"G";"quadrat8";1;0;145;0;203;0;Inf;NA;NA;2;5;4
"ALLsp";2020-10-16;"obs_oxup";"G";"quadrat9";33;73;200;76;825;82;0,402439024390244;0,890243902439024;0,926829268292683;3;4;6
"ALLsp";2020-10-16;"obs_oxup";"G";"quadrat10";19;33;206;44;1025;60;0,316666666666667;0,55;0,733333333333333;4;6;2
"ALLsp";2020-10-16;"obs_hnes";"I";"quadrat1";16;18;152;20;315;20;0,8;0,9;1;3;7;1
"ALLsp";2020-10-16;"obs_hnes";"I";"quadrat2";75;106;223;118;575;134;0,559701492537313;0,791044776119403;0,880597014925373;4;8;3
"ALLsp";2020-10-16;"obs_hnes";"I";"quadrat3";1;0;348;3;226;5;0,2;0;0,6;5;6;9
"ALLsp";2020-10-16;"obs_hnes";"I";"quadrat4";32;42;164;49;600;57;0,56140350877193;0,736842105263158;0,859649122807018;6;10;5
"ALLsp";2020-10-16;"obs_hnes";"I";"quadrat5";63;39;219;84;606;99;0,636363636363636;0,393939393939394;0,848484848484849;7;5;8
"ALLsp";2020-10-16;"obs_hnes";"I";"quadrat6";48;53;137;58;504;63;0,761904761904762;0,841269841269841;0,920634920634921;8;1;6
"ALLsp";2020-10-16;"obs_hnes";"I";"quadrat7";85;118;340;169;964;209;0,406698564593301;0,564593301435407;0,808612440191388;9;9;7
"ALLsp";2020-10-16;"obs_hnes";"I";"quadrat8";0;0;229;0;190;0;NA;NA;NA;10;3;2
"ALLsp";2020-10-16;"obs_hnes";"I";"quadrat9";45;68;290;74;560;82;0,548780487804878;0,829268292682927;0,902439024390244;1;2;4
"ALLsp";2020-10-16;"obs_hnes";"I";"quadrat10";32;32;255;51;560;60;0,533333333333333;0,533333333333333;0,85;2;4;10
"CALARV2";2020-10-20;"obs_pizh";"A";"quadrat1";5;8;48;11;142;13;0,384615384615385;0,615384615384615;0,846153846153846;1;5;9
"CALARV2";2020-10-20;"obs_pizh";"A";"quadrat2";14;15;49;15;178;20;0,7;0,75;0,75;2;6;1
"CALARV2";2020-10-20;"obs_pizh";"A";"quadrat3";1;1;33;1;95;1;1;1;1;3;4;7
"CALARV2";2020-10-20;"obs_pizh";"A";"quadrat4";30;44;61;58;432;68;0,441176470588235;0,647058823529412;0,852941176470588;4;8;3
"CALARV2";2020-10-20;"obs_pizh";"A";"quadrat5";15;20;55;28;263;36;0,416666666666667;0,555555555555556;0,777777777777778;5;3;6
"CALARV2";2020-10-20;"obs_pizh";"A";"quadrat6";9;17;49;17;212;31;0,290322580645161;0,548387096774194;0,548387096774194;6;9;4
"CALARV2";2020-10-20;"obs_pizh";"A";"quadrat7";60;78;81;97;623;116;0,517241379310345;0,672413793103448;0,836206896551724;7;7;5
"CALARV2";2020-10-20;"obs_pizh";"A";"quadrat8";0;0;39;0;58;0;NA;NA;NA;8;1;10
"CALARV2";2020-10-20;"obs_pizh";"A";"quadrat9";24;36;74;38;322;48;0,5;0,75;0,791666666666667;9;10;2
"CALARV2";2020-10-20;"obs_pizh";"A";"quadrat10";33;20;63;24;289;27;1,22222222222222;0,740740740740741;0,888888888888889;10;2;8
"CALARV2";2020-10-20;"obs_cdgr";"C";"quadrat1";6;11;61;13;170;13;0,461538461538462;0,846153846153846;1;9;3;7
"CALARV2";2020-10-20;"obs_cdgr";"C";"quadrat2";14;14;47;20;173;20;0,7;0,7;1;10;4;9
"CALARV2";2020-10-20;"obs_cdgr";"C";"quadrat3";0;1;35;1;55;1;0;1;1;1;2;5
"CALARV2";2020-10-20;"obs_cdgr";"C";"quadrat4";18;45;96;60;550;68;0,264705882352941;0,661764705882353;0,882352941176471;2;6;1
"CALARV2";2020-10-20;"obs_cdgr";"C";"quadrat5";11;24;78;28;260;36;0,305555555555556;0,666666666666667;0,777777777777778;3;1;4
"CALARV2";2020-10-20;"obs_cdgr";"C";"quadrat6";9;17;100;21;206;31;0,290322580645161;0,548387096774194;0,67741935483871;4;7;2
"CALARV2";2020-10-20;"obs_cdgr";"C";"quadrat7";35;81;160;107;831;116;0,301724137931034;0,698275862068966;0,922413793103448;5;5;3
"CALARV2";2020-10-20;"obs_cdgr";"C";"quadrat8";0;0;29;0;53;0;NA;NA;NA;6;9;8
"CALARV2";2020-10-20;"obs_cdgr";"C";"quadrat9";16;33;56;44;533;48;0,333333333333333;0,6875;0,916666666666667;7;8;10
"CALARV2";2020-10-20;"obs_cdgr";"C";"quadrat10";17;21;80;27;381;27;0,62962962962963;0,777777777777778;1;8;10;6
"CALARV2";2020-10-20;"obs_ohjn";"E";"quadrat1";5;9;49;12;175;13;0,384615384615385;0,692307692307692;0,923076923076923;7;1;5
"CALARV2";2020-10-20;"obs_ohjn";"E";"quadrat2";13;14;55;19;453;20;0,65;0,7;0,95;8;2;7
"CALARV2";2020-10-20;"obs_ohjn";"E";"quadrat3";1;1;102;1;260;1;1;1;1;9;10;3
"CALARV2";2020-10-20;"obs_ohjn";"E";"quadrat4";24;41;101;57;373;68;0,352941176470588;0,602941176470588;0,838235294117647;10;4;9
"CALARV2";2020-10-20;"obs_ohjn";"E";"quadrat5";10;21;80;33;841;36;0,277777777777778;0,583333333333333;0,916666666666667;1;9;2
"CALARV2";2020-10-20;"obs_ohjn";"E";"quadrat6";8;9;48;23;252;31;0,258064516129032;0,290322580645161;0,741935483870968;2;5;10
"CALARV2";2020-10-20;"obs_ohjn";"E";"quadrat7";25;75;160;111;1329;116;0,21551724137931;0,646551724137931;0,956896551724138;3;3;1
"CALARV2";2020-10-20;"obs_ohjn";"E";"quadrat8";0;0;39;0;60;0;NA;NA;NA;4;7;6
"CALARV2";2020-10-20;"obs_ohjn";"E";"quadrat9";12;34;97;44;370;48;0,25;0,708333333333333;0,916666666666667;5;6;8
"CALARV2";2020-10-20;"obs_ohjn";"E";"quadrat10";19;23;79;23;363;27;0,703703703703704;0,851851851851852;0,851851851851852;6;8;4
"CALARV2";2020-10-20;"obs_vduy";"G";"quadrat1";5;8;67;13;235;13;0,384615384615385;0,615384615384615;1;5;9;3
"CALARV2";2020-10-20;"obs_vduy";"G";"quadrat2";9;23;79;29;357;20;0,45;1,15;1,45;6;10;5
"CALARV2";2020-10-20;"obs_vduy";"G";"quadrat3";1;1;40;0;123;1;1;1;0;7;8;1
"CALARV2";2020-10-20;"obs_vduy";"G";"quadrat4";23;31;39;65;625;68;0,338235294117647;0,455882352941176;0,955882352941177;8;2;7
"CALARV2";2020-10-20;"obs_vduy";"G";"quadrat5";12;22;103;34;366;36;0,333333333333333;0,611111111111111;0,944444444444444;9;7;10
"CALARV2";2020-10-20;"obs_vduy";"G";"quadrat6";9;12;77;28;363;31;0,290322580645161;0,387096774193548;0,903225806451613;10;3;8
"CALARV2";2020-10-20;"obs_vduy";"G";"quadrat7";15;38;57;120;824;116;0,129310344827586;0,327586206896552;1,03448275862069;1;1;9
"CALARV2";2020-10-20;"obs_vduy";"G";"quadrat8";0;0;88;0;140;0;NA;NA;NA;2;5;4
"CALARV2";2020-10-20;"obs_vduy";"G";"quadrat9";8;29;67;38;445;48;0,166666666666667;0,604166666666667;0,791666666666667;3;4;6
"CALARV2";2020-10-20;"obs_vduy";"G";"quadrat10";13;20;93;26;292;27;0,481481481481481;0,740740740740741;0,962962962962963;4;6;2
"CALARV2";2020-10-20;"obs_ilkl";"I";"quadrat1";5;9;34;7;105;13;0,384615384615385;0,692307692307692;0,538461538461538;3;7;1
"CALARV2";2020-10-20;"obs_ilkl";"I";"quadrat2";13;13;30;15;194;20;0,65;0,65;0,75;4;8;3
"CALARV2";2020-10-20;"obs_ilkl";"I";"quadrat3";1;1;23;0;92;1;1;1;0;5;6;9
"CALARV2";2020-10-20;"obs_ilkl";"I";"quadrat4";18;18;34;44;424;68;0,264705882352941;0,264705882352941;0,647058823529412;6;10;5
"CALARV2";2020-10-20;"obs_ilkl";"I";"quadrat5";13;13;32;27;331;36;0,361111111111111;0,361111111111111;0,75;7;5;8
"CALARV2";2020-10-20;"obs_ilkl";"I";"quadrat6";8;8;23;21;270;31;0,258064516129032;0,258064516129032;0,67741935483871;8;1;6
"CALARV2";2020-10-20;"obs_ilkl";"I";"quadrat7";44;44;43;100;636;116;0,379310344827586;0,379310344827586;0,862068965517241;9;9;7
"CALARV2";2020-10-20;"obs_ilkl";"I";"quadrat8";0;0;29;0;70;0;NA;NA;NA;10;3;2
"CALARV2";2020-10-20;"obs_ilkl";"I";"quadrat9";12;12;29;29;352;48;0,25;0,25;0,604166666666667;1;2;4
"CALARV2";2020-10-20;"obs_ilkl";"I";"quadrat10";17;17;46;23;330;27;0,62962962962963;0,62962962962963;0,851851851851852;2;4;10
"SANMIN";2020-10-28;"obs_ocov";"A";"quadrat1";30;64;345;134;640;169;0,177514792899408;0,378698224852071;0,792899408284024;1;5;9
"SANMIN";2020-10-28;"obs_ocov";"A";"quadrat2";11;67;300;80;1002;86;0,127906976744186;0,779069767441861;0,930232558139535;2;6;1
"SANMIN";2020-10-28;"obs_ocov";"A";"quadrat3";1;1;156;3;272;4;0,25;0,25;0,75;3;4;7
"SANMIN";2020-10-28;"obs_ocov";"A";"quadrat4";28;49;158;62;762;75;0,373333333333333;0,653333333333333;0,826666666666667;4;8;3
"SANMIN";2020-10-28;"obs_ocov";"A";"quadrat5";3;4;176;6;342;7;0,428571428571429;0,571428571428571;0,857142857142857;5;3;6
"SANMIN";2020-10-28;"obs_ocov";"A";"quadrat6";4;12;154;14;504;19;0,210526315789474;0,631578947368421;0,736842105263158;6;9;4
"SANMIN";2020-10-28;"obs_ocov";"A";"quadrat7";30;48;147;96;1045;102;0,294117647058824;0,470588235294118;0,941176470588235;7;7;5
"SANMIN";2020-10-28;"obs_ocov";"A";"quadrat8";4;6;260;6;292;9;0,444444444444444;0,666666666666667;0,666666666666667;8;1;10
"SANMIN";2020-10-28;"obs_ocov";"A";"quadrat9";16;29;136;43;760;47;0,340425531914894;0,617021276595745;0,914893617021277;9;10;2
"SANMIN";2020-10-28;"obs_ocov";"A";"quadrat10";5;11;407;8;348;10;0,5;1,1;0,8;10;2;8
"SANMIN";2020-10-28;"obs_ycff";"C";"quadrat1";62;89;105;135;666;169;0,366863905325444;0,526627218934911;0,798816568047337;9;3;7
"SANMIN";2020-10-28;"obs_ycff";"C";"quadrat2";25;41;120;70;520;86;0,290697674418605;0,476744186046512;0,813953488372093;10;4;9
"SANMIN";2020-10-28;"obs_ycff";"C";"quadrat3";2;2;32;3;100;4;0,5;0,5;0,75;1;2;5
"SANMIN";2020-10-28;"obs_ycff";"C";"quadrat4";36;51;83;63;560;75;0,48;0,68;0,84;2;6;1
"SANMIN";2020-10-28;"obs_ycff";"C";"quadrat5";4;3;29;5;105;7;0,571428571428571;0,428571428571429;0,714285714285714;3;1;4
"SANMIN";2020-10-28;"obs_ycff";"C";"quadrat6";5;6;67;15;220;19;0,263157894736842;0,315789473684211;0,789473684210526;4;7;2
"SANMIN";2020-10-28;"obs_ycff";"C";"quadrat7";65;64;126;97;600;102;0,637254901960784;0,627450980392157;0,950980392156863;5;5;3
"SANMIN";2020-10-28;"obs_ycff";"C";"quadrat8";3;5;35;8;160;9;0,333333333333333;0,555555555555556;0,888888888888889;6;9;8
"SANMIN";2020-10-28;"obs_ycff";"C";"quadrat9";24;30;103;38;490;47;0,51063829787234;0,638297872340426;0,808510638297872;7;8;10
"SANMIN";2020-10-28;"obs_ycff";"C";"quadrat10";6;7;69;7;155;10;0,6;0,7;0,7;8;10;6
"SANMIN";2020-10-28;"obs_lcob";"E";"quadrat1";40;116;260;136;940;169;0,236686390532544;0,686390532544379;0,804733727810651;7;1;5
"SANMIN";2020-10-28;"obs_lcob";"E";"quadrat2";22;68;374;69;850;86;0,255813953488372;0,790697674418605;0,802325581395349;8;2;7
"SANMIN";2020-10-28;"obs_lcob";"E";"quadrat3";1;2;60;3;188;4;0,25;0,5;0,75;9;10;3
"SANMIN";2020-10-28;"obs_lcob";"E";"quadrat4";36;53;210;72;730;75;0,48;0,706666666666667;0,96;10;4;9
"SANMIN";2020-10-28;"obs_lcob";"E";"quadrat5";4;4;70;4;210;7;0,571428571428571;0,571428571428571;0,571428571428571;1;9;2
"SANMIN";2020-10-28;"obs_lcob";"E";"quadrat6";8;11;130;12;340;19;0,421052631578947;0,578947368421053;0,631578947368421;2;5;10
"SANMIN";2020-10-28;"obs_lcob";"E";"quadrat7";40;81;430;102;1110;102;0,392156862745098;0,794117647058823;1;3;3;1
"SANMIN";2020-10-28;"obs_lcob";"E";"quadrat8";6;6;110;2;105;9;0,666666666666667;0,666666666666667;0,222222222222222;4;7;6
"SANMIN";2020-10-28;"obs_lcob";"E";"quadrat9";23;30;253;34;592;47;0,48936170212766;0,638297872340426;0,723404255319149;5;6;8
"SANMIN";2020-10-28;"obs_lcob";"E";"quadrat10";11;8;110;8;380;10;1,1;0,8;0,8;6;8;4
"SANMIN";2020-10-28;"obs_ywgi";"G";"quadrat1";62;79;95;124;741;169;0,366863905325444;0,467455621301775;0,733727810650888;5;9;3
"SANMIN";2020-10-28;"obs_ywgi";"G";"quadrat2";27;42;114;79;660;86;0,313953488372093;0,488372093023256;0,918604651162791;6;10;8
"SANMIN";2020-10-28;"obs_ywgi";"G";"quadrat3";0;2;54;3;206;4;0;0,5;0,75;7;6;1
"SANMIN";2020-10-28;"obs_ywgi";"G";"quadrat4";35;41;85;68;739;75;0,466666666666667;0,546666666666667;0,906666666666667;8;2;5
"SANMIN";2020-10-28;"obs_ywgi";"G";"quadrat5";3;5;58;7;278;7;0,428571428571429;0,714285714285714;1;9;7;7
