"species";"obs_id";"obs_letter";"counting_method";"quadrat_num";"count";"counting_time";"prop_detect";"quadrat_order";"count_TRUE";"species_conspicuousness";"habitat_closure";"exp_bota";"excess_detect"
"ALLCHA";"obs_autm";"A";"count_cells";"quadrat7";15;327;0,9375;5;16;1;-0,340625606734331;2;0
"ALLCHA";"obs_autm";"A";"count_cells";"quadrat9";7;235;0,875;2;8;1;-0,531007530296334;2;0
"ALLCHA";"obs_bbyx";"F";"count_30s";"quadrat1";2;30;0,25;6;8;1;-0,209042250927803;2;0
"ALLCHA";"obs_bbyx";"F";"count_30s";"quadrat10";3;30;0,375;5;8;1;-0,377625312114079;2;0
"ALLCHA";"obs_bbyx";"F";"count_30s";"quadrat2";1;30;0,333333333333333;7;3;1;0,129232383864122;2;0
"ALLCHA";"obs_bbyx";"F";"count_30s";"quadrat4";7;30;0,466666666666667;9;15;1;-0,591917012601486;2;0
"ALLCHA";"obs_bbyx";"F";"count_30s";"quadrat5";4;30;0,235294117647059;10;17;1;0,0227203725469055;2;0
"ALLCHA";"obs_bbyx";"F";"count_30s";"quadrat6";2;30;1;1;2;1;-0,310170865581755;2;0
"ALLCHA";"obs_bbyx";"F";"count_30s";"quadrat7";1;30;0,0625;2;16;1;-0,340625606734331;2;0
"ALLCHA";"obs_bbyx";"F";"count_30s";"quadrat9";1;30;0,125;4;8;1;-0,531007530296334;2;0
"ALLCHA";"obs_bbyx";"F";"count_1m";"quadrat1";5;134;0,625;10;8;1;-0,209042250927803;2;0
"ALLCHA";"obs_bbyx";"F";"count_1m";"quadrat10";4;70;0,5;7;8;1;-0,377625312114079;2;0
"ALLCHA";"obs_bbyx";"F";"count_1m";"quadrat2";1;98;0,333333333333333;1;3;1;0,129232383864122;2;0
"ALLCHA";"obs_bbyx";"F";"count_1m";"quadrat4";11;222;0,733333333333333;3;15;1;-0,591917012601486;2;0
"ALLCHA";"obs_bbyx";"F";"count_1m";"quadrat5";4;142;0,235294117647059;8;17;1;0,0227203725469055;2;0
"ALLCHA";"obs_bbyx";"F";"count_1m";"quadrat6";2;153;1;4;2;1;-0,310170865581755;2;0
"ALLCHA";"obs_bbyx";"F";"count_1m";"quadrat7";5;145;0,3125;2;16;1;-0,340625606734331;2;0
"ALLCHA";"obs_bbyx";"F";"count_1m";"quadrat9";1;116;0,125;5;8;1;-0,531007530296334;2;0
"ALLCHA";"obs_bbyx";"F";"count_cells";"quadrat1";6;382;0,75;4;8;1;-0,209042250927803;2;0
"ALLCHA";"obs_bbyx";"F";"count_cells";"quadrat10";7;550;0,875;3;8;1;-0,377625312114079;2;0
"ALLCHA";"obs_bbyx";"F";"count_cells";"quadrat2";1;434;0,333333333333333;6;3;1;0,129232383864122;2;0
"ALLCHA";"obs_bbyx";"F";"count_cells";"quadrat4";15;434;1;8;15;1;-0,591917012601486;2;0
"ALLCHA";"obs_bbyx";"F";"count_cells";"quadrat5";10;895;0,588235294117647;1;17;1;0,0227203725469055;2;0
"ALLCHA";"obs_bbyx";"F";"count_cells";"quadrat6";4;342;2;9;2;1;-0,310170865581755;2;1
"ALLCHA";"obs_bbyx";"F";"count_cells";"quadrat7";10;417;0,625;10;16;1;-0,340625606734331;2;0
"ALLCHA";"obs_bbyx";"F";"count_cells";"quadrat9";7;412;0,875;7;8;1;-0,531007530296334;2;0
"ALLCHA";"obs_dtwj";"E";"count_30s";"quadrat1";6;30;0,75;7;8;1;-0,209042250927803;5;0
"ALLCHA";"obs_dtwj";"E";"count_30s";"quadrat10";2;30;0,25;6;8;1;-0,377625312114079;5;0
"ALLCHA";"obs_dtwj";"E";"count_30s";"quadrat2";1;30;0,333333333333333;8;3;1;0,129232383864122;5;0
"ALLCHA";"obs_dtwj";"E";"count_30s";"quadrat4";9;30;0,6;10;15;1;-0,591917012601486;5;0
"ALLCHA";"obs_dtwj";"E";"count_30s";"quadrat5";4;30;0,235294117647059;1;17;1;0,0227203725469055;5;0
"ALLCHA";"obs_dtwj";"E";"count_30s";"quadrat6";1;30;0,5;2;2;1;-0,310170865581755;5;0
"ALLCHA";"obs_dtwj";"E";"count_30s";"quadrat7";4;30;0,25;3;16;1;-0,340625606734331;5;0
"ALLCHA";"obs_dtwj";"E";"count_30s";"quadrat9";6;30;0,75;5;8;1;-0,531007530296334;5;0
"ALLCHA";"obs_dtwj";"E";"count_1m";"quadrat1";5;60;0,625;1;8;1;-0,209042250927803;5;0
"ALLCHA";"obs_dtwj";"E";"count_1m";"quadrat10";3;90;0,375;8;8;1;-0,377625312114079;5;0
"ALLCHA";"obs_dtwj";"E";"count_1m";"quadrat2";2;60;0,666666666666667;2;3;1;0,129232383864122;5;0
"ALLCHA";"obs_dtwj";"E";"count_1m";"quadrat4";12;102;0,8;4;15;1;-0,591917012601486;5;0
"ALLCHA";"obs_dtwj";"E";"count_1m";"quadrat5";11;145;0,647058823529412;9;17;1;0,0227203725469055;5;0
"ALLCHA";"obs_dtwj";"E";"count_1m";"quadrat6";1;60;0,5;5;2;1;-0,310170865581755;5;0
"ALLCHA";"obs_dtwj";"E";"count_1m";"quadrat7";11;120;0,6875;3;16;1;-0,340625606734331;5;0
"ALLCHA";"obs_dtwj";"E";"count_1m";"quadrat9";7;180;0,875;6;8;1;-0,531007530296334;5;0
"ALLCHA";"obs_dtwj";"E";"count_cells";"quadrat1";6;502;0,75;5;8;1;-0,209042250927803;5;0
"ALLCHA";"obs_dtwj";"E";"count_cells";"quadrat10";3;381;0,375;4;8;1;-0,377625312114079;5;0
"ALLCHA";"obs_dtwj";"E";"count_cells";"quadrat2";3;300;1;7;3;1;0,129232383864122;5;0
"ALLCHA";"obs_dtwj";"E";"count_cells";"quadrat4";13;286;0,866666666666667;9;15;1;-0,591917012601486;5;0
"ALLCHA";"obs_dtwj";"E";"count_cells";"quadrat5";12;484;0,705882352941177;2;17;1;0,0227203725469055;5;0
"ALLCHA";"obs_dtwj";"E";"count_cells";"quadrat6";2;242;1;10;2;1;-0,310170865581755;5;0
"ALLCHA";"obs_dtwj";"E";"count_cells";"quadrat7";16;628;1;1;16;1;-0,340625606734331;5;0
"ALLCHA";"obs_dtwj";"E";"count_cells";"quadrat9";8;300;1;8;8;1;-0,531007530296334;5;0
"ALLCHA";"obs_fxsg";"D";"count_30s";"quadrat1";3;30;0,375;8;8;1;-0,209042250927803;1;0
"ALLCHA";"obs_fxsg";"D";"count_30s";"quadrat10";1;30;0,125;7;8;1;-0,377625312114079;1;0
"ALLCHA";"obs_fxsg";"D";"count_30s";"quadrat2";1;30;0,333333333333333;9;3;1;0,129232383864122;1;0
"ALLCHA";"obs_fxsg";"D";"count_30s";"quadrat4";7;30;0,466666666666667;1;15;1;-0,591917012601486;1;0
"ALLCHA";"obs_fxsg";"D";"count_30s";"quadrat5";1;30;0,0588235294117647;2;17;1;0,0227203725469055;1;0
"ALLCHA";"obs_fxsg";"D";"count_30s";"quadrat6";5;30;2,5;3;2;1;-0,310170865581755;1;1
"ALLCHA";"obs_fxsg";"D";"count_30s";"quadrat7";2;30;0,125;4;16;1;-0,340625606734331;1;0
"ALLCHA";"obs_fxsg";"D";"count_30s";"quadrat9";2;30;0,25;6;8;1;-0,531007530296334;1;0
"ALLCHA";"obs_fxsg";"D";"count_1m";"quadrat1";3;70;0,375;2;8;1;-0,209042250927803;1;0
"ALLCHA";"obs_fxsg";"D";"count_1m";"quadrat10";2;52;0,25;9;8;1;-0,377625312114079;1;0
"ALLCHA";"obs_fxsg";"D";"count_1m";"quadrat2";1;83;0,333333333333333;3;3;1;0,129232383864122;1;0
"ALLCHA";"obs_fxsg";"D";"count_1m";"quadrat4";9;60;0,6;5;15;1;-0,591917012601486;1;0
"ALLCHA";"obs_fxsg";"D";"count_1m";"quadrat5";4;71;0,235294117647059;10;17;1;0,0227203725469055;1;0
"ALLCHA";"obs_fxsg";"D";"count_1m";"quadrat6";2;60;1;6;2;1;-0,310170865581755;1;0
"ALLCHA";"obs_fxsg";"D";"count_1m";"quadrat7";1;78;0,0625;4;16;1;-0,340625606734331;1;0
"ALLCHA";"obs_fxsg";"D";"count_1m";"quadrat9";3;60;0,375;7;8;1;-0,531007530296334;1;0
"ALLCHA";"obs_fxsg";"D";"count_cells";"quadrat1";5;282;0,625;6;8;1;-0,209042250927803;1;0
"ALLCHA";"obs_fxsg";"D";"count_cells";"quadrat10";2;216;0,25;5;8;1;-0,377625312114079;1;0
"ALLCHA";"obs_fxsg";"D";"count_cells";"quadrat2";2;180;0,666666666666667;8;3;1;0,129232383864122;1;0
"ALLCHA";"obs_fxsg";"D";"count_cells";"quadrat4";11;317;0,733333333333333;10;15;1;-0,591917012601486;1;0
"ALLCHA";"obs_fxsg";"D";"count_cells";"quadrat5";7;296;0,411764705882353;3;17;1;0,0227203725469055;1;0
"ALLCHA";"obs_fxsg";"D";"count_cells";"quadrat6";2;301;1;1;2;1;-0,310170865581755;1;0
"ALLCHA";"obs_fxsg";"D";"count_cells";"quadrat7";9;405;0,5625;2;16;1;-0,340625606734331;1;0
"ALLCHA";"obs_fxsg";"D";"count_cells";"quadrat9";2;213;0,25;9;8;1;-0,531007530296334;1;0
"ALLCHA";"obs_hdbg";"G";"count_30s";"quadrat1";4;30;0,5;5;8;1;-0,209042250927803;3;0
"ALLCHA";"obs_hdbg";"G";"count_30s";"quadrat10";2;30;0,25;4;8;1;-0,377625312114079;3;0
"ALLCHA";"obs_hdbg";"G";"count_30s";"quadrat2";2;30;0,666666666666667;6;3;1;0,129232383864122;3;0
"ALLCHA";"obs_hdbg";"G";"count_30s";"quadrat4";8;30;0,533333333333333;8;15;1;-0,591917012601486;3;0
"ALLCHA";"obs_hdbg";"G";"count_30s";"quadrat5";3;30;0,176470588235294;9;17;1;0,0227203725469055;3;0
"ALLCHA";"obs_hdbg";"G";"count_30s";"quadrat6";2;30;1;10;2;1;-0,310170865581755;3;0
"ALLCHA";"obs_hdbg";"G";"count_30s";"quadrat7";2;30;0,125;1;16;1;-0,340625606734331;3;0
"ALLCHA";"obs_hdbg";"G";"count_30s";"quadrat9";1;30;0,125;3;8;1;-0,531007530296334;3;0
"ALLCHA";"obs_hdbg";"G";"count_1m";"quadrat1";4;116;0,5;9;8;1;-0,209042250927803;3;0
"ALLCHA";"obs_hdbg";"G";"count_1m";"quadrat10";3;174;0,375;6;8;1;-0,377625312114079;3;0
"ALLCHA";"obs_hdbg";"G";"count_1m";"quadrat2";2;158;0,666666666666667;10;3;1;0,129232383864122;3;0
"ALLCHA";"obs_hdbg";"G";"count_1m";"quadrat4";9;120;0,6;2;15;1;-0,591917012601486;3;0
"ALLCHA";"obs_hdbg";"G";"count_1m";"quadrat5";5;131;0,294117647058824;7;17;1;0,0227203725469055;3;0
"ALLCHA";"obs_hdbg";"G";"count_1m";"quadrat6";2;96;1;3;2;1;-0,310170865581755;3;0
"ALLCHA";"obs_hdbg";"G";"count_1m";"quadrat7";8;180;0,5;1;16;1;-0,340625606734331;3;0
"ALLCHA";"obs_hdbg";"G";"count_1m";"quadrat9";5;138;0,625;4;8;1;-0,531007530296334;3;0
"ALLCHA";"obs_hdbg";"G";"count_cells";"quadrat1";4;456;0,5;3;8;1;-0,209042250927803;3;0
"ALLCHA";"obs_hdbg";"G";"count_cells";"quadrat10";3;207;0,375;2;8;1;-0,377625312114079;3;0
"ALLCHA";"obs_hdbg";"G";"count_cells";"quadrat2";2;219;0,666666666666667;5;3;1;0,129232383864122;3;0
"ALLCHA";"obs_hdbg";"G";"count_cells";"quadrat4";9;240;0,6;7;15;1;-0,591917012601486;3;0
"ALLCHA";"obs_hdbg";"G";"count_cells";"quadrat5";9;275;0,529411764705882;10;17;1;0,0227203725469055;3;0
"ALLCHA";"obs_hdbg";"G";"count_cells";"quadrat6";2;283;1;8;2;1;-0,310170865581755;3;0
"ALLCHA";"obs_hdbg";"G";"count_cells";"quadrat7";10;379;0,625;9;16;1;-0,340625606734331;3;0
"ALLCHA";"obs_hdbg";"G";"count_cells";"quadrat9";4;163;0,5;6;8;1;-0,531007530296334;3;0
"ALLCHA";"obs_peyb";"I";"count_30s";"quadrat1";4;30;0,5;3;8;1;-0,209042250927803;3;0
"ALLCHA";"obs_peyb";"I";"count_30s";"quadrat10";2;30;0,25;2;8;1;-0,377625312114079;3;0
"ALLCHA";"obs_peyb";"I";"count_30s";"quadrat2";1;30;0,333333333333333;4;3;1;0,129232383864122;3;0
"ALLCHA";"obs_peyb";"I";"count_30s";"quadrat4";7;30;0,466666666666667;6;15;1;-0,591917012601486;3;0
"ALLCHA";"obs_peyb";"I";"count_30s";"quadrat5";5;30;0,294117647058824;7;17;1;0,0227203725469055;3;0
"ALLCHA";"obs_peyb";"I";"count_30s";"quadrat6";1;30;0,5;8;2;1;-0,310170865581755;3;0
"ALLCHA";"obs_peyb";"I";"count_30s";"quadrat7";7;30;0,4375;9;16;1;-0,340625606734331;3;0
"ALLCHA";"obs_peyb";"I";"count_30s";"quadrat9";2;30;0,25;1;8;1;-0,531007530296334;3;0
"ALLCHA";"obs_peyb";"I";"count_1m";"quadrat1";4;167;0,5;7;8;1;-0,209042250927803;3;0
"ALLCHA";"obs_peyb";"I";"count_1m";"quadrat10";3;128;0,375;4;8;1;-0,377625312114079;3;0
"ALLCHA";"obs_peyb";"I";"count_1m";"quadrat2";1;185;0,333333333333333;8;3;1;0,129232383864122;3;0
"ALLCHA";"obs_peyb";"I";"count_1m";"quadrat4";9;93;0,6;10;15;1;-0,591917012601486;3;0
"ALLCHA";"obs_peyb";"I";"count_1m";"quadrat5";7;286;0,411764705882353;5;17;1;0,0227203725469055;3;0
"ALLCHA";"obs_peyb";"I";"count_1m";"quadrat6";1;134;0,5;1;2;1;-0,310170865581755;3;0
"ALLCHA";"obs_peyb";"I";"count_1m";"quadrat7";4;169;0,25;9;16;1;-0,340625606734331;3;0
"ALLCHA";"obs_peyb";"I";"count_1m";"quadrat9";5;143;0,625;2;8;1;-0,531007530296334;3;0
"ALLCHA";"obs_peyb";"I";"count_cells";"quadrat1";5;326;0,625;1;8;1;-0,209042250927803;3;0
"ALLCHA";"obs_peyb";"I";"count_cells";"quadrat10";3;207;0,375;10;8;1;-0,377625312114079;3;0
"ALLCHA";"obs_peyb";"I";"count_cells";"quadrat2";2;404;0,666666666666667;3;3;1;0,129232383864122;3;0
"ALLCHA";"obs_peyb";"I";"count_cells";"quadrat4";11;342;0,733333333333333;5;15;1;-0,591917012601486;3;0
"ALLCHA";"obs_peyb";"I";"count_cells";"quadrat5";6;521;0,352941176470588;8;17;1;0,0227203725469055;3;0
"ALLCHA";"obs_peyb";"I";"count_cells";"quadrat6";2;606;1;6;2;1;-0,310170865581755;3;0
"ALLCHA";"obs_peyb";"I";"count_cells";"quadrat7";13;431;0,8125;7;16;1;-0,340625606734331;3;0
"ALLCHA";"obs_peyb";"I";"count_cells";"quadrat9";4;327;0,5;4;8;1;-0,531007530296334;3;0
"ALLsp";"obs_hnes";"I";"count_30s";"quadrat1";16;30;0,8;3;20;2;0,0988306978560794;2;0
"ALLsp";"obs_hnes";"I";"count_30s";"quadrat10";32;30;0,533333333333333;2;60;2;-0,0643689666669321;2;0
"ALLsp";"obs_hnes";"I";"count_30s";"quadrat2";75;30;0,559701492537313;4;134;2;-0,113243977792582;2;0
"ALLsp";"obs_hnes";"I";"count_30s";"quadrat3";1;30;0,2;5;5;2;0,0422491549393518;2;0
"ALLsp";"obs_hnes";"I";"count_30s";"quadrat4";32;30;0,56140350877193;6;57;2;-0,0360251400640347;2;0
"ALLsp";"obs_hnes";"I";"count_30s";"quadrat5";63;30;0,636363636363636;7;99;2;0,111867571165888;2;0
"ALLsp";"obs_hnes";"I";"count_30s";"quadrat6";48;30;0,761904761904762;8;63;2;0,135777348091293;2;0
"ALLsp";"obs_hnes";"I";"count_30s";"quadrat7";85;30;0,406698564593301;9;209;2;0,144486282012677;2;0
"ALLsp";"obs_hnes";"I";"count_30s";"quadrat9";45;30;0,548780487804878;1;82;2;-0,0121153631386295;2;0
"ALLsp";"obs_hnes";"I";"count_1m";"quadrat1";18;152;0,9;7;20;2;0,0988306978560794;2;0
"ALLsp";"obs_hnes";"I";"count_1m";"quadrat10";32;255;0,533333333333333;4;60;2;-0,0643689666669321;2;0
"ALLsp";"obs_hnes";"I";"count_1m";"quadrat2";106;223;0,791044776119403;8;134;2;-0,113243977792582;2;0
"ALLsp";"obs_hnes";"I";"count_1m";"quadrat3";0;348;0;6;5;2;0,0422491549393518;2;0
"ALLsp";"obs_hnes";"I";"count_1m";"quadrat4";42;164;0,736842105263158;10;57;2;-0,0360251400640347;2;0
"ALLsp";"obs_hnes";"I";"count_1m";"quadrat5";39;219;0,393939393939394;5;99;2;0,111867571165888;2;0
"ALLsp";"obs_hnes";"I";"count_1m";"quadrat6";53;137;0,841269841269841;1;63;2;0,135777348091293;2;0
"ALLsp";"obs_hnes";"I";"count_1m";"quadrat7";118;340;0,564593301435407;9;209;2;0,144486282012677;2;0
"ALLsp";"obs_hnes";"I";"count_1m";"quadrat9";68;290;0,829268292682927;2;82;2;-0,0121153631386295;2;0
"ALLsp";"obs_hnes";"I";"count_cells";"quadrat1";20;315;1;1;20;2;0,0988306978560794;2;0
"ALLsp";"obs_hnes";"I";"count_cells";"quadrat10";51;560;0,85;10;60;2;-0,0643689666669321;2;0
"ALLsp";"obs_hnes";"I";"count_cells";"quadrat2";118;575;0,880597014925373;3;134;2;-0,113243977792582;2;0
"ALLsp";"obs_hnes";"I";"count_cells";"quadrat3";3;226;0,6;9;5;2;0,0422491549393518;2;0
"ALLsp";"obs_hnes";"I";"count_cells";"quadrat4";49;600;0,859649122807018;5;57;2;-0,0360251400640347;2;0
"ALLsp";"obs_hnes";"I";"count_cells";"quadrat5";84;606;0,848484848484849;8;99;2;0,111867571165888;2;0
"ALLsp";"obs_hnes";"I";"count_cells";"quadrat6";58;504;0,920634920634921;6;63;2;0,135777348091293;2;0
"ALLsp";"obs_hnes";"I";"count_cells";"quadrat7";169;964;0,808612440191388;7;209;2;0,144486282012677;2;0
"ALLsp";"obs_hnes";"I";"count_cells";"quadrat9";74;560;0,902439024390244;4;82;2;-0,0121153631386295;2;0
"ALLsp";"obs_oxup";"G";"count_30s";"quadrat1";17;30;0,85;5;20;2;0,0988306978560794;1;0
"ALLsp";"obs_oxup";"G";"count_30s";"quadrat10";19;30;0,316666666666667;4;60;2;-0,0643689666669321;1;0
"ALLsp";"obs_oxup";"G";"count_30s";"quadrat2";35;30;0,261194029850746;6;134;2;-0,113243977792582;1;0
"ALLsp";"obs_oxup";"G";"count_30s";"quadrat3";1;30;0,2;7;5;2;0,0422491549393518;1;0
"ALLsp";"obs_oxup";"G";"count_30s";"quadrat4";25;30;0,43859649122807;8;57;2;-0,0360251400640347;1;0
"ALLsp";"obs_oxup";"G";"count_30s";"quadrat5";26;30;0,262626262626263;9;99;2;0,111867571165888;1;0
"ALLsp";"obs_oxup";"G";"count_30s";"quadrat6";45;30;0,714285714285714;10;63;2;0,135777348091293;1;0
"ALLsp";"obs_oxup";"G";"count_30s";"quadrat7";31;30;0,148325358851675;1;209;2;0,144486282012677;1;0
"ALLsp";"obs_oxup";"G";"count_30s";"quadrat9";33;30;0,402439024390244;3;82;2;-0,0121153631386295;1;0
"ALLsp";"obs_oxup";"G";"count_1m";"quadrat1";18;90;0,9;9;20;2;0,0988306978560794;1;0
"ALLsp";"obs_oxup";"G";"count_1m";"quadrat10";33;206;0,55;6;60;2;-0,0643689666669321;1;0
"ALLsp";"obs_oxup";"G";"count_1m";"quadrat2";105;292;0,783582089552239;10;134;2;-0,113243977792582;1;0
"ALLsp";"obs_oxup";"G";"count_1m";"quadrat3";2;198;0,4;8;5;2;0,0422491549393518;1;0
"ALLsp";"obs_oxup";"G";"count_1m";"quadrat4";42;167;0,736842105263158;2;57;2;-0,0360251400640347;1;0
"ALLsp";"obs_oxup";"G";"count_1m";"quadrat5";60;159;0,606060606060606;7;99;2;0,111867571165888;1;0
"ALLsp";"obs_oxup";"G";"count_1m";"quadrat6";49;149;0,777777777777778;3;63;2;0,135777348091293;1;0
"ALLsp";"obs_oxup";"G";"count_1m";"quadrat7";86;160;0,411483253588517;1;209;2;0,144486282012677;1;0
"ALLsp";"obs_oxup";"G";"count_1m";"quadrat9";73;200;0,890243902439024;4;82;2;-0,0121153631386295;1;0
"ALLsp";"obs_oxup";"G";"count_cells";"quadrat1";15;286;0,75;3;20;2;0,0988306978560794;1;0
"ALLsp";"obs_oxup";"G";"count_cells";"quadrat10";44;1025;0,733333333333333;2;60;2;-0,0643689666669321;1;0
"ALLsp";"obs_oxup";"G";"count_cells";"quadrat2";116;731;0,865671641791045;5;134;2;-0,113243977792582;1;0
"ALLsp";"obs_oxup";"G";"count_cells";"quadrat3";2;421;0,4;1;5;2;0,0422491549393518;1;0
"ALLsp";"obs_oxup";"G";"count_cells";"quadrat4";49;489;0,859649122807018;7;57;2;-0,0360251400640347;1;0
"ALLsp";"obs_oxup";"G";"count_cells";"quadrat5";85;860;0,858585858585859;10;99;2;0,111867571165888;1;0
"ALLsp";"obs_oxup";"G";"count_cells";"quadrat6";54;665;0,857142857142857;8;63;2;0,135777348091293;1;0
"ALLsp";"obs_oxup";"G";"count_cells";"quadrat7";155;1210;0,741626794258373;9;209;2;0,144486282012677;1;0
"ALLsp";"obs_oxup";"G";"count_cells";"quadrat9";76;825;0,926829268292683;6;82;2;-0,0121153631386295;1;0
"ALLsp";"obs_pimm";"C";"count_30s";"quadrat1";11;30;0,55;9;20;2;0,0988306978560794;1;0
"ALLsp";"obs_pimm";"C";"count_30s";"quadrat10";13;30;0,216666666666667;8;60;2;-0,0643689666669321;1;0
"ALLsp";"obs_pimm";"C";"count_30s";"quadrat2";18;30;0,134328358208955;10;134;2;-0,113243977792582;1;0
"ALLsp";"obs_pimm";"C";"count_30s";"quadrat3";NA;30;NA;1;5;2;0,0422491549393518;1;NA
"ALLsp";"obs_pimm";"C";"count_30s";"quadrat4";10;30;0,175438596491228;2;57;2;-0,0360251400640347;1;0
"ALLsp";"obs_pimm";"C";"count_30s";"quadrat5";15;30;0,151515151515152;3;99;2;0,111867571165888;1;0
"ALLsp";"obs_pimm";"C";"count_30s";"quadrat6";30;30;0,476190476190476;4;63;2;0,135777348091293;1;0
"ALLsp";"obs_pimm";"C";"count_30s";"quadrat7";15;30;0,0717703349282297;5;209;2;0,144486282012677;1;0
"ALLsp";"obs_pimm";"C";"count_30s";"quadrat9";25;30;0,304878048780488;7;82;2;-0,0121153631386295;1;0
"ALLsp";"obs_pimm";"C";"count_1m";"quadrat1";14;108;0,7;3;20;2;0,0988306978560794;1;0
"ALLsp";"obs_pimm";"C";"count_1m";"quadrat10";18;200;0,3;10;60;2;-0,0643689666669321;1;0
"ALLsp";"obs_pimm";"C";"count_1m";"quadrat2";65;120;0,485074626865672;4;134;2;-0,113243977792582;1;0
"ALLsp";"obs_pimm";"C";"count_1m";"quadrat3";0;150;0;2;5;2;0,0422491549393518;1;0
"ALLsp";"obs_pimm";"C";"count_1m";"quadrat4";30;140;0,526315789473684;6;57;2;-0,0360251400640347;1;0
"ALLsp";"obs_pimm";"C";"count_1m";"quadrat5";31;165;0,313131313131313;1;99;2;0,111867571165888;1;0
"ALLsp";"obs_pimm";"C";"count_1m";"quadrat6";27;88;0,428571428571429;7;63;2;0,135777348091293;1;0
"ALLsp";"obs_pimm";"C";"count_1m";"quadrat7";106;300;0,507177033492823;5;209;2;0,144486282012677;1;0
"ALLsp";"obs_pimm";"C";"count_1m";"quadrat9";58;175;0,707317073170732;8;82;2;-0,0121153631386295;1;0
"ALLsp";"obs_pimm";"C";"count_cells";"quadrat1";16;190;0,8;7;20;2;0,0988306978560794;1;0
"ALLsp";"obs_pimm";"C";"count_cells";"quadrat10";40;560;0,666666666666667;6;60;2;-0,0643689666669321;1;0
"ALLsp";"obs_pimm";"C";"count_cells";"quadrat2";105;620;0,783582089552239;9;134;2;-0,113243977792582;1;0
"ALLsp";"obs_pimm";"C";"count_cells";"quadrat3";0;45;0;5;5;2;0,0422491549393518;1;0
"ALLsp";"obs_pimm";"C";"count_cells";"quadrat4";21;900;0,368421052631579;1;57;2;-0,0360251400640347;1;0
"ALLsp";"obs_pimm";"C";"count_cells";"quadrat5";77;870;0,777777777777778;4;99;2;0,111867571165888;1;0
"ALLsp";"obs_pimm";"C";"count_cells";"quadrat6";50;300;0,793650793650794;2;63;2;0,135777348091293;1;0
"ALLsp";"obs_pimm";"C";"count_cells";"quadrat7";128;1282;0,61244019138756;3;209;2;0,144486282012677;1;0
"ALLsp";"obs_pimm";"C";"count_cells";"quadrat9";69;679;0,841463414634146;10;82;2;-0,0121153631386295;1;0
"AMBART";"obs_aefg";"I";"count_30s";"quadrat1";38;30;0,775510204081633;3;49;2;-1,58198790335515;4;0
"AMBART";"obs_aefg";"I";"count_30s";"quadrat10";13;30;0,764705882352941;2;17;2;-1,78746455963211;4;0
