"species";"date";"obs_id";"obs_letter";"quadrat_num";"count_30s";"count_1m";"counting_time_1m";"count_cells";"counting_time_cells";"prop_30s";"prop_1m";"prop_cells";"quadrat_order_30s";"quadrat_order_1m";"quadrat_order_cells";"vegetation_cover";"height_max";"count_TRUE";"occupied_cells_TRUE";"veg_height_median";"species_conspicuousness";"habitat_closure";"exp_bota"
"PLALAN";2020-10-07;"obs_jdpu";"C";"quadrat6";80;106;90;129;390;0,634920634920635;0,841269841269841;1,02380952380952;4;7;2;14;17;126;59;1,2;1;-1,60473611271665;5
"PLALAN";2020-10-07;"obs_jdpu";"C";"quadrat7";35;173;180;233;610;0,145833333333333;0,720833333333333;0,970833333333333;5;5;3;16;13;240;75;0;1;-1,63080985933627;5
"PLALAN";2020-10-07;"obs_jdpu";"C";"quadrat9";100;155;160;198;540;0,478468899521531;0,741626794258373;0,947368421052632;7;8;10;22;8;209;80;0,8;1;-1,469827219652;5
"PLALAN";2020-10-07;"obs_jdpu";"C";"quadrat10";20;42;135;48;430;0,416666666666667;0,875;1;8;10;6;18;13;48;32;0,3;1;-1,57533682883891;5
"PLALAN";2020-10-07;"obs_xbmp";"E";"quadrat1";9;12;84;18;285;0,473684210526316;0,631578947368421;0,947368421052632;7;1;5;14;53;19;16;0;1;-1,66997353441023;1
"PLALAN";2020-10-07;"obs_xbmp";"E";"quadrat2";37;121;250;118;546;0,187817258883249;0,614213197969543;0,598984771573604;8;2;7;19;9;197;52;0;1;-1,57206434672533;1
"PLALAN";2020-10-07;"obs_xbmp";"E";"quadrat3";1;3;127;9;420;0,0909090909090909;0,272727272727273;0,818181818181818;9;10;3;7;23;11;10;0;1;-1,80704639716909;1
"PLALAN";2020-10-07;"obs_xbmp";"E";"quadrat4";44;56;107;59;269;0,523809523809524;0,666666666666667;0,702380952380952;10;4;9;12;14;84;50;0;1;-1,70913720948419;1
"PLALAN";2020-10-07;"obs_xbmp";"E";"quadrat5";46;66;73;124;685;0,285714285714286;0,409937888198758;0,770186335403727;1;9;2;12;9;161;69;0,6;1;-1,6765184986374;1
"PLALAN";2020-10-07;"obs_xbmp";"E";"quadrat6";58;100;125;97;282;0,46031746031746;0,793650793650794;0,76984126984127;2;5;10;14;17;126;59;1,2;1;-1,60473611271665;1
"PLALAN";2020-10-07;"obs_xbmp";"E";"quadrat7";56;127;221;180;634;0,233333333333333;0,529166666666667;0,75;3;3;1;16;13;240;75;0;1;-1,63080985933627;1
"PLALAN";2020-10-07;"obs_xbmp";"E";"quadrat9";65;130;170;162;470;0,311004784688995;0,62200956937799;0,77511961722488;5;6;8;22;8;209;80;0,8;1;-1,469827219652;1
"PLALAN";2020-10-07;"obs_xbmp";"E";"quadrat10";24;33;83;51;482;0,5;0,6875;1,0625;6;8;4;18;13;48;32;0,3;1;-1,57533682883891;1
"PLALAN";2020-10-07;"obs_ikoz";"G";"quadrat1";12;12;40;10;160;0,631578947368421;0,631578947368421;0,526315789473684;5;9;3;14;53;19;16;0;1;-1,66997353441023;2
"PLALAN";2020-10-07;"obs_ikoz";"G";"quadrat2";57;76;100;57;340;0,289340101522843;0,385786802030457;0,289340101522843;6;10;5;19;9;197;52;0;1;-1,57206434672533;2
"PLALAN";2020-10-07;"obs_ikoz";"G";"quadrat3";0;0;39;0;40;0;0;0;7;8;1;7;23;11;10;0;1;-1,80704639716909;2
"PLALAN";2020-10-07;"obs_ikoz";"G";"quadrat4";39;49;40;48;219;0,464285714285714;0,583333333333333;0,571428571428571;8;2;7;12;14;84;50;0;1;-1,70913720948419;2
"PLALAN";2020-10-07;"obs_ikoz";"G";"quadrat5";40;64;58;45;213;0,248447204968944;0,397515527950311;0,279503105590062;9;7;10;12;9;161;69;0,6;1;-1,6765184986374;2
"PLALAN";2020-10-07;"obs_ikoz";"G";"quadrat6";67;66;55;84;360;0,531746031746032;0,523809523809524;0,666666666666667;10;3;8;14;17;126;59;1,2;1;-1,60473611271665;2
"PLALAN";2020-10-07;"obs_ikoz";"G";"quadrat7";70;135;94;68;200;0,291666666666667;0,5625;0,283333333333333;1;1;9;16;13;240;75;0;1;-1,63080985933627;2
"PLALAN";2020-10-07;"obs_ikoz";"G";"quadrat8";9;0;80;0;108;9;0;0;2;5;4;11;126;1;1;0,6;1;-1,69610033617438;2
"PLALAN";2020-10-07;"obs_ikoz";"G";"quadrat9";80;96;60;108;288;0,382775119617225;0,45933014354067;0,516746411483254;3;4;6;22;8;209;80;0,8;1;-1,469827219652;2
"PLALAN";2020-10-07;"obs_ikoz";"G";"quadrat10";21;26;52;21;230;0,4375;0,541666666666667;0,4375;4;6;2;18;13;48;32;0,3;1;-1,57533682883891;2
"PLALAN";2020-10-07;"obs_sjfy";"B";"quadrat1";11;11;80;11;241;0,578947368421053;0,578947368421053;0,578947368421053;10;4;8;14;53;19;16;0;1;-1,66997353441023;2
"PLALAN";2020-10-07;"obs_sjfy";"B";"quadrat2";40;66;130;69;384;0,203045685279188;0,33502538071066;0,350253807106599;1;5;10;19;9;197;52;0;1;-1,57206434672533;2
"PLALAN";2020-10-07;"obs_sjfy";"B";"quadrat3";1;2;110;0;187;0,0909090909090909;0,181818181818182;0;2;3;6;7;23;11;10;0;1;-1,80704639716909;2
"PLALAN";2020-10-07;"obs_sjfy";"B";"quadrat4";43;52;74;60;556;0,511904761904762;0,619047619047619;0,714285714285714;3;7;2;12;14;84;50;0;1;-1,70913720948419;2
"PLALAN";2020-10-07;"obs_sjfy";"B";"quadrat5";47;53;78;68;390;0,291925465838509;0,329192546583851;0,422360248447205;4;2;5;12;9;161;69;0,6;1;-1,6765184986374;2
"PLALAN";2020-10-07;"obs_sjfy";"B";"quadrat6";69;93;75;102;409;0,547619047619048;0,738095238095238;0,80952380952381;5;8;3;14;17;126;59;1,2;1;-1,60473611271665;2
"PLALAN";2020-10-07;"obs_sjfy";"B";"quadrat7";39;110;133;102;433;0,1625;0,458333333333333;0,425;6;6;4;16;13;240;75;0;1;-1,63080985933627;2
"PLALAN";2020-10-07;"obs_sjfy";"B";"quadrat8";1;1;131;0;135;1;1;0;7;10;9;11;126;1;1;0,6;1;-1,69610033617438;2
"PLALAN";2020-10-07;"obs_sjfy";"B";"quadrat9";59;111;106;26;690;0,282296650717703;0,5311004784689;0,124401913875598;8;9;1;22;8;209;80;0,8;1;-1,469827219652;2
"PLALAN";2020-10-07;"obs_sjfy";"B";"quadrat10";21;23;80;11;300;0,4375;0,479166666666667;0,229166666666667;9;1;7;18;13;48;32;0,3;1;-1,57533682883891;2
"PLALAN";2020-10-07;"obs_ntdg";"I";"quadrat1";9;11;63;14;497;0,473684210526316;0,578947368421053;0,736842105263158;3;7;1;14;53;19;16;0;1;-1,66997353441023;2
"PLALAN";2020-10-07;"obs_ntdg";"I";"quadrat2";25;70;129;148;1101;0,126903553299492;0,355329949238579;0,751269035532995;4;8;3;19;9;197;52;0;1;-1,57206434672533;2
"PLALAN";2020-10-07;"obs_ntdg";"I";"quadrat3";0;0;56;0;133;0;0;0;5;6;9;7;23;11;10;0;1;-1,80704639716909;2
"PLALAN";2020-10-07;"obs_ntdg";"I";"quadrat4";33;53;73;64;690;0,392857142857143;0,630952380952381;0,761904761904762;6;10;5;12;14;84;50;0;1;-1,70913720948419;2
"PLALAN";2020-10-07;"obs_ntdg";"I";"quadrat5";50;60;73;70;340;0,31055900621118;0,372670807453416;0,434782608695652;7;5;8;12;9;161;69;0,6;1;-1,6765184986374;2
"PLALAN";2020-10-07;"obs_ntdg";"I";"quadrat6";50;88;105;95;710;0,396825396825397;0,698412698412698;0,753968253968254;8;1;6;14;17;126;59;1,2;1;-1,60473611271665;2
"PLALAN";2020-10-07;"obs_ntdg";"I";"quadrat7";45;119;133;121;480;0,1875;0,495833333333333;0,504166666666667;9;9;7;16;13;240;75;0;1;-1,63080985933627;2
"PLALAN";2020-10-07;"obs_ntdg";"I";"quadrat8";0;1;81;1;364;0;1;1;10;3;2;11;126;1;1;0,6;1;-1,69610033617438;2
"PLALAN";2020-10-07;"obs_ntdg";"I";"quadrat9";65;109;109;150;882;0,311004784688995;0,521531100478469;0,717703349282297;1;2;4;22;8;209;80;0,8;1;-1,469827219652;2
"PLALAN";2020-10-07;"obs_ntdg";"I";"quadrat10";17;23;95;29;349;0,354166666666667;0,479166666666667;0,604166666666667;2;4;10;18;13;48;32;0,3;1;-1,57533682883891;2
"ALLsp";2020-10-16;"obs_pimm";"C";"quadrat1";11;14;108;16;190;0,55;0,7;0,8;9;3;7;96;61;20;6;3;2;0,0988306978560794;1
"ALLsp";2020-10-16;"obs_pimm";"C";"quadrat2";18;65;120;105;620;0,134328358208955;0,485074626865672;0,783582089552239;10;4;9;91;14;134;21;0,9;2;-0,113243977792582;1
"ALLsp";2020-10-16;"obs_pimm";"C";"quadrat3";NA;0;150;0;45;NA;0;0;1;2;5;92;86;5;5;3,4;2;0,0422491549393518;1
"ALLsp";2020-10-16;"obs_pimm";"C";"quadrat4";10;30;140;21;900;0,175438596491228;0,526315789473684;0,368421052631579;2;6;1;93;17;57;27;1,6;2;-0,0360251400640347;1
"ALLsp";2020-10-16;"obs_pimm";"C";"quadrat5";15;31;165;77;870;0,151515151515152;0,313131313131313;0,777777777777778;3;1;4;95;20;99;48;3,6;2;0,111867571165888;1
"ALLsp";2020-10-16;"obs_pimm";"C";"quadrat6";30;27;88;50;300;0,476190476190476;0,428571428571429;0,793650793650794;4;7;2;94;24;63;26;4,4;2;0,135777348091293;1
"ALLsp";2020-10-16;"obs_pimm";"C";"quadrat7";15;106;300;128;1282;0,0717703349282297;0,507177033492823;0,61244019138756;5;5;3;95;17;209;62;4,2;2;0,144486282012677;1
"ALLsp";2020-10-16;"obs_pimm";"C";"quadrat9";25;58;175;69;679;0,304878048780488;0,707317073170732;0,841463414634146;7;8;10;92;12;82;24;2,4;2;-0,0121153631386295;1
"ALLsp";2020-10-16;"obs_pimm";"C";"quadrat10";13;18;200;40;560;0,216666666666667;0,3;0,666666666666667;8;10;6;86;23;60;29;3,6;2;-0,0643689666669321;1
"ALLsp";2020-10-16;"obs_oxup";"G";"quadrat1";17;18;90;15;286;0,85;0,9;0,75;5;9;3;96;61;20;6;3;2;0,0988306978560794;1
"ALLsp";2020-10-16;"obs_oxup";"G";"quadrat2";35;105;292;116;731;0,261194029850746;0,783582089552239;0,865671641791045;6;10;5;91;14;134;21;0,9;2;-0,113243977792582;1
"ALLsp";2020-10-16;"obs_oxup";"G";"quadrat3";1;2;198;2;421;0,2;0,4;0,4;7;8;1;92;86;5;5;3,4;2;0,0422491549393518;1
"ALLsp";2020-10-16;"obs_oxup";"G";"quadrat4";25;42;167;49;489;0,43859649122807;0,736842105263158;0,859649122807018;8;2;7;93;17;57;27;1,6;2;-0,0360251400640347;1
"ALLsp";2020-10-16;"obs_oxup";"G";"quadrat5";26;60;159;85;860;0,262626262626263;0,606060606060606;0,858585858585859;9;7;10;95;20;99;48;3,6;2;0,111867571165888;1
"ALLsp";2020-10-16;"obs_oxup";"G";"quadrat6";45;49;149;54;665;0,714285714285714;0,777777777777778;0,857142857142857;10;3;8;94;24;63;26;4,4;2;0,135777348091293;1
"ALLsp";2020-10-16;"obs_oxup";"G";"quadrat7";31;86;160;155;1210;0,148325358851675;0,411483253588517;0,741626794258373;1;1;9;95;17;209;62;4,2;2;0,144486282012677;1
"ALLsp";2020-10-16;"obs_oxup";"G";"quadrat9";33;73;200;76;825;0,402439024390244;0,890243902439024;0,926829268292683;3;4;6;92;12;82;24;2,4;2;-0,0121153631386295;1
"ALLsp";2020-10-16;"obs_oxup";"G";"quadrat10";19;33;206;44;1025;0,316666666666667;0,55;0,733333333333333;4;6;2;86;23;60;29;3,6;2;-0,0643689666669321;1
"ALLsp";2020-10-16;"obs_hnes";"I";"quadrat1";16;18;152;20;315;0,8;0,9;1;3;7;1;96;61;20;6;3;2;0,0988306978560794;2
"ALLsp";2020-10-16;"obs_hnes";"I";"quadrat2";75;106;223;118;575;0,559701492537313;0,791044776119403;0,880597014925373;4;8;3;91;14;134;21;0,9;2;-0,113243977792582;2
"ALLsp";2020-10-16;"obs_hnes";"I";"quadrat3";1;0;348;3;226;0,2;0;0,6;5;6;9;92;86;5;5;3,4;2;0,0422491549393518;2
"ALLsp";2020-10-16;"obs_hnes";"I";"quadrat4";32;42;164;49;600;0,56140350877193;0,736842105263158;0,859649122807018;6;10;5;93;17;57;27;1,6;2;-0,0360251400640347;2
"ALLsp";2020-10-16;"obs_hnes";"I";"quadrat5";63;39;219;84;606;0,636363636363636;0,393939393939394;0,848484848484849;7;5;8;95;20;99;48;3,6;2;0,111867571165888;2
"ALLsp";2020-10-16;"obs_hnes";"I";"quadrat6";48;53;137;58;504;0,761904761904762;0,841269841269841;0,920634920634921;8;1;6;94;24;63;26;4,4;2;0,135777348091293;2
"ALLsp";2020-10-16;"obs_hnes";"I";"quadrat7";85;118;340;169;964;0,406698564593301;0,564593301435407;0,808612440191388;9;9;7;95;17;209;62;4,2;2;0,144486282012677;2
"ALLsp";2020-10-16;"obs_hnes";"I";"quadrat9";45;68;290;74;560;0,548780487804878;0,829268292682927;0,902439024390244;1;2;4;92;12;82;24;2,4;2;-0,0121153631386295;2
"ALLsp";2020-10-16;"obs_hnes";"I";"quadrat10";32;32;255;51;560;0,533333333333333;0,533333333333333;0,85;2;4;10;86;23;60;29;3,6;2;-0,0643689666669321;2
"CALARV2";2020-10-20;"obs_pizh";"A";"quadrat1";5;8;48;11;142;0,384615384615385;0,615384615384615;0,846153846153846;1;5;9;70;59;13;8;1,9;2;-0,470098047991181;5
"CALARV2";2020-10-20;"obs_pizh";"A";"quadrat2";14;15;49;15;178;0,7;0,75;0,75;2;6;1;86;15,5;20;13;3;2;-0,096987677513721;5
"CALARV2";2020-10-20;"obs_pizh";"A";"quadrat3";1;1;33;1;95;1;1;1;3;4;7;89;18,8;1;1;4,7;2;0,0541775158297874;5
"CALARV2";2020-10-20;"obs_pizh";"A";"quadrat4";30;44;61;58;432;0,441176470588235;0,647058823529412;0,852941176470588;4;8;3;75;23,8;68;38;4,2;2;-0,247150468726924;5
"CALARV2";2020-10-20;"obs_pizh";"A";"quadrat5";15;20;55;28;263;0,416666666666667;0,555555555555556;0,777777777777778;5;3;6;87;11,5;36;21;3,1;2;-0,0719693881689428;5
"CALARV2";2020-10-20;"obs_pizh";"A";"quadrat6";9;17;49;17;212;0,290322580645161;0,548387096774194;0,548387096774194;6;9;4;88;18,9;31;19;2,5;2;-0,0850062614787516;5
"CALARV2";2020-10-20;"obs_pizh";"A";"quadrat7";60;78;81;97;623;0,517241379310345;0,672413793103448;0,836206896551724;7;7;5;84;17,3;116;58;2,9;2;-0,141587804395479;5
"CALARV2";2020-10-20;"obs_pizh";"A";"quadrat9";24;36;74;38;322;0,5;0,75;0,791666666666667;9;10;2;96;19,8;48;34;3,9;2;0,147758764126263;5
"CALARV2";2020-10-20;"obs_pizh";"A";"quadrat10";33;20;63;24;289;1,22222222222222;0,740740740740741;0,888888888888889;10;2;8;87;17,5;27;24;2,5;2;-0,104588099015732;5
"CALARV2";2020-10-20;"obs_cdgr";"C";"quadrat1";6;11;61;13;170;0,461538461538462;0,846153846153846;1;9;3;7;70;59;13;8;1,9;2;-0,470098047991181;5
"CALARV2";2020-10-20;"obs_cdgr";"C";"quadrat2";14;14;47;20;173;0,7;0,7;1;10;4;9;86;15,5;20;13;3;2;-0,096987677513721;5
"CALARV2";2020-10-20;"obs_cdgr";"C";"quadrat3";0;1;35;1;55;0;1;1;1;2;5;89;18,8;1;1;4,7;2;0,0541775158297874;5
"CALARV2";2020-10-20;"obs_cdgr";"C";"quadrat4";18;45;96;60;550;0,264705882352941;0,661764705882353;0,882352941176471;2;6;1;75;23,8;68;38;4,2;2;-0,247150468726924;5
"CALARV2";2020-10-20;"obs_cdgr";"C";"quadrat5";11;24;78;28;260;0,305555555555556;0,666666666666667;0,777777777777778;3;1;4;87;11,5;36;21;3,1;2;-0,0719693881689428;5
"CALARV2";2020-10-20;"obs_cdgr";"C";"quadrat6";9;17;100;21;206;0,290322580645161;0,548387096774194;0,67741935483871;4;7;2;88;18,9;31;19;2,5;2;-0,0850062614787516;5
"CALARV2";2020-10-20;"obs_cdgr";"C";"quadrat7";35;81;160;107;831;0,301724137931034;0,698275862068966;0,922413793103448;5;5;3;84;17,3;116;58;2,9;2;-0,141587804395479;5
"CALARV2";2020-10-20;"obs_cdgr";"C";"quadrat9";16;33;56;44;533;0,333333333333333;0,6875;0,916666666666667;7;8;10;96;19,8;48;34;3,9;2;0,147758764126263;5
"CALARV2";2020-10-20;"obs_cdgr";"C";"quadrat10";17;21;80;27;381;0,62962962962963;0,777777777777778;1;8;10;6;87;17,5;27;24;2,5;2;-0,104588099015732;5
"CALARV2";2020-10-20;"obs_ohjn";"E";"quadrat1";5;9;49;12;175;0,384615384615385;0,692307692307692;0,923076923076923;7;1;5;70;59;13;8;1,9;2;-0,470098047991181;2
"CALARV2";2020-10-20;"obs_ohjn";"E";"quadrat2";13;14;55;19;453;0,65;0,7;0,95;8;2;7;86;15,5;20;13;3;2;-0,096987677513721;2
"CALARV2";2020-10-20;"obs_ohjn";"E";"quadrat3";1;1;102;1;260;1;1;1;9;10;3;89;18,8;1;1;4,7;2;0,0541775158297874;2
"CALARV2";2020-10-20;"obs_ohjn";"E";"quadrat4";24;41;101;57;373;0,352941176470588;0,602941176470588;0,838235294117647;10;4;9;75;23,8;68;38;4,2;2;-0,247150468726924;2
"CALARV2";2020-10-20;"obs_ohjn";"E";"quadrat5";10;21;80;33;841;0,277777777777778;0,583333333333333;0,916666666666667;1;9;2;87;11,5;36;21;3,1;2;-0,0719693881689428;2
"CALARV2";2020-10-20;"obs_ohjn";"E";"quadrat6";8;9;48;23;252;0,258064516129032;0,290322580645161;0,741935483870968;2;5;10;88;18,9;31;19;2,5;2;-0,0850062614787516;2
"CALARV2";2020-10-20;"obs_ohjn";"E";"quadrat7";25;75;160;111;1329;0,21551724137931;0,646551724137931;0,956896551724138;3;3;1;84;17,3;116;58;2,9;2;-0,141587804395479;2
"CALARV2";2020-10-20;"obs_ohjn";"E";"quadrat9";12;34;97;44;370;0,25;0,708333333333333;0,916666666666667;5;6;8;96;19,8;48;34;3,9;2;0,147758764126263;2
"CALARV2";2020-10-20;"obs_ohjn";"E";"quadrat10";19;23;79;23;363;0,703703703703704;0,851851851851852;0,851851851851852;6;8;4;87;17,5;27;24;2,5;2;-0,104588099015732;2
"CALARV2";2020-10-20;"obs_vduy";"G";"quadrat1";5;8;67;13;235;0,384615384615385;0,615384615384615;1;5;9;3;70;59;13;8;1,9;2;-0,470098047991181;3
"CALARV2";2020-10-20;"obs_vduy";"G";"quadrat3";1;1;40;0;123;1;1;0;7;8;1;89;18,8;1;1;4,7;2;0,0541775158297874;3
"CALARV2";2020-10-20;"obs_vduy";"G";"quadrat4";23;31;39;65;625;0,338235294117647;0,455882352941176;0,955882352941177;8;2;7;75;23,8;68;38;4,2;2;-0,247150468726924;3
"CALARV2";2020-10-20;"obs_vduy";"G";"quadrat5";12;22;103;34;366;0,333333333333333;0,611111111111111;0,944444444444444;9;7;10;87;11,5;36;21;3,1;2;-0,0719693881689428;3
"CALARV2";2020-10-20;"obs_vduy";"G";"quadrat6";9;12;77;28;363;0,290322580645161;0,387096774193548;0,903225806451613;10;3;8;88;18,9;31;19;2,5;2;-0,0850062614787516;3
"CALARV2";2020-10-20;"obs_vduy";"G";"quadrat7";15;38;57;120;824;0,129310344827586;0,327586206896552;1,03448275862069;1;1;9;84;17,3;116;58;2,9;2;-0,141587804395479;3
"CALARV2";2020-10-20;"obs_vduy";"G";"quadrat9";8;29;67;38;445;0,166666666666667;0,604166666666667;0,791666666666667;3;4;6;96;19,8;48;34;3,9;2;0,147758764126263;3
"CALARV2";2020-10-20;"obs_vduy";"G";"quadrat10";13;20;93;26;292;0,481481481481481;0,740740740740741;0,962962962962963;4;6;2;87;17,5;27;24;2,5;2;-0,104588099015732;3
"CALARV2";2020-10-20;"obs_ilkl";"I";"quadrat1";5;9;34;7;105;0,384615384615385;0,692307692307692;0,538461538461538;3;7;1;70;59;13;8;1,9;2;-0,470098047991181;1
"CALARV2";2020-10-20;"obs_ilkl";"I";"quadrat2";13;13;30;15;194;0,65;0,65;0,75;4;8;3;86;15,5;20;13;3;2;-0,096987677513721;1
"CALARV2";2020-10-20;"obs_ilkl";"I";"quadrat3";1;1;23;0;92;1;1;0;5;6;9;89;18,8;1;1;4,7;2;0,0541775158297874;1
"CALARV2";2020-10-20;"obs_ilkl";"I";"quadrat4";18;18;34;44;424;0,264705882352941;0,264705882352941;0,647058823529412;6;10;5;75;23,8;68;38;4,2;2;-0,247150468726924;1
"CALARV2";2020-10-20;"obs_ilkl";"I";"quadrat5";13;13;32;27;331;0,361111111111111;0,361111111111111;0,75;7;5;8;87;11,5;36;21;3,1;2;-0,0719693881689428;1
"CALARV2";2020-10-20;"obs_ilkl";"I";"quadrat6";8;8;23;21;270;0,258064516129032;0,258064516129032;0,67741935483871;8;1;6;88;18,9;31;19;2,5;2;-0,0850062614787516;1
"CALARV2";2020-10-20;"obs_ilkl";"I";"quadrat7";44;44;43;100;636;0,379310344827586;0,379310344827586;0,862068965517241;9;9;7;84;17,3;116;58;2,9;2;-0,141587804395479;1
"CALARV2";2020-10-20;"obs_ilkl";"I";"quadrat9";12;12;29;29;352;0,25;0,25;0,604166666666667;1;2;4;96;19,8;48;34;3,9;2;0,147758764126263;1
"CALARV2";2020-10-20;"obs_ilkl";"I";"quadrat10";17;17;46;23;330;0,62962962962963;0,62962962962963;0,851851851851852;2;4;10;87;17,5;27;24;2,5;2;-0,104588099015732;1
"SANMIN";2020-10-28;"obs_ocov";"A";"quadrat1";30;64;345;134;640;0,177514792899408;0,378698224852071;0,792899408284024;1;5;9;37;23,8;169;60;0;2;-1,21959127105969;1
"SANMIN";2020-10-28;"obs_ocov";"A";"quadrat2";11;67;300;80;1002;0,127906976744186;0,779069767441861;0,930232558139535;2;6;1;66;31,3;86;51;0,8;2;-0,608226368024881;1
"SANMIN";2020-10-28;"obs_ocov";"A";"quadrat3";1;1;156;3;272;0,25;0,25;0,75;3;4;7;29;54,8;4;4;3,9;2;-1,1642243508514;1
"SANMIN";2020-10-28;"obs_ocov";"A";"quadrat4";28;49;158;62;762;0,373333333333333;0,653333333333333;0,826666666666667;4;8;3;23;77,2;75;43;0;2;-1,49373699657741;1
"SANMIN";2020-10-28;"obs_ocov";"A";"quadrat5";3;4;176;6;342;0,428571428571429;0,571428571428571;0,857142857142857;5;3;6;38;31,6;7;7;0,4;2;-1,17826362629151;1
"SANMIN";2020-10-28;"obs_ocov";"A";"quadrat6";4;12;154;14;504;0,210526315789474;0,631578947368421;0,736842105263158;6;9;4;32;46;19;11;1;2;-1,26313594066661;1
"SANMIN";2020-10-28;"obs_ocov";"A";"quadrat7";30;48;147;96;1045;0,294117647058824;0,470588235294118;0,941176470588235;7;7;5;72;21,8;102;46;2,3;2;-0,409188565686029;1
"SANMIN";2020-10-28;"obs_ocov";"A";"quadrat8";4;6;260;6;292;0,444444444444444;0,666666666666667;0,666666666666667;8;1;10;55;41,4;9;9;3,4;2;-0,68227883392891;1
"SANMIN";2020-10-28;"obs_ocov";"A";"quadrat9";16;29;136;43;760;0,340425531914894;0,617021276595745;0,914893617021277;9;10;2;78;44,5;47;35;1,9;2;-0,313443347695341;1
"SANMIN";2020-10-28;"obs_ycff";"C";"quadrat1";62;89;105;135;666;0,366863905325444;0,526627218934911;0,798816568047337;9;3;7;37;23,8;169;60;0;2;-1,21959127105969;4
"SANMIN";2020-10-28;"obs_ycff";"C";"quadrat2";25;41;120;70;520;0,290697674418605;0,476744186046512;0,813953488372093;10;4;9;66;31,3;86;51;0,8;2;-0,608226368024881;4
"SANMIN";2020-10-28;"obs_ycff";"C";"quadrat3";2;2;32;3;100;0,5;0,5;0,75;1;2;5;29;54,8;4;4;3,9;2;-1,1642243508514;4
"SANMIN";2020-10-28;"obs_ycff";"C";"quadrat4";36;51;83;63;560;0,48;0,68;0,84;2;6;1;23;77,2;75;43;0;2;-1,49373699657741;4
"SANMIN";2020-10-28;"obs_ycff";"C";"quadrat5";4;3;29;5;105;0,571428571428571;0,428571428571429;0,714285714285714;3;1;4;38;31,6;7;7;0,4;2;-1,17826362629151;4
"SANMIN";2020-10-28;"obs_ycff";"C";"quadrat6";5;6;67;15;220;0,263157894736842;0,315789473684211;0,789473684210526;4;7;2;32;46;19;11;1;2;-1,26313594066661;4
