"species";"quadrat_num";"vegetation_cover";"height_max";"count_TRUE";"occupied_cells_TRUE";"veg_height_median";"species_conspicuousness"
"ERIANN";"quadrat7";98;68,4;10;8;25,7;4
"ERIANN";"quadrat8";98;129,7;0;0;54,7;4
"ERIANN";"quadrat9";96;89,7;58;31;37,8;4
"ERIANN";"quadrat10";97;92,2;19;16;29,7;4
"EROCIC";"quadrat1";35;28,7;33;26;3,2;1
"EROCIC";"quadrat2";30;30,6;24;22;3,9;1
"EROCIC";"quadrat3";38;16,4;1;1;1,4;1
"EROCIC";"quadrat4";43;29,2;19;14;4,3;1
"EROCIC";"quadrat5";46;23,6;13;12;2,6;1
"EROCIC";"quadrat6";16;39,3;27;22;1,9;1
"EROCIC";"quadrat7";15;23;38;29;0,4;1
"EROCIC";"quadrat8";52;50,3;0;0;3,3;1
"EROCIC";"quadrat9";42;26,2;58;40;2,6;1
"EROCIC";"quadrat10";50;26,1;10;7;4,3;1
"EUPHEL";"quadrat1";98;44,9;26;16;9,4;3
"EUPHEL";"quadrat2";97;43,2;88;45;10,4;3
"EUPHEL";"quadrat3";98;39,2;1;1;6,2;3
"EUPHEL";"quadrat4";96;59,5;46;28;8,5;3
"EUPHEL";"quadrat5";99;27,5;11;10;7,6;3
"EUPHEL";"quadrat6";100;38,3;21;17;9,4;3
"EUPHEL";"quadrat7";96;40,5;77;41;7,2;3
"EUPHEL";"quadrat8";100;73,4;0;0;9,1;3
"EUPHEL";"quadrat9";97;29,7;35;23;7,1;3
"EUPHEL";"quadrat10";100;28,4;38;24;6,2;3
"EUPPEP2";"quadrat1";4;32,3;6;6;0;1
"EUPPEP2";"quadrat2";2;30,4;55;43;0;1
"EUPPEP2";"quadrat3";0;0;1;1;0;1
"EUPPEP2";"quadrat4";3;26,6;19;16;0;1
"EUPPEP2";"quadrat5";2;24,5;14;9;0;1
"EUPPEP2";"quadrat6";4;22,7;12;10;0;1
"EUPPEP2";"quadrat7";2;20,4;57;39;0;1
"EUPPEP2";"quadrat8";1;23,3;15;13;2;1
"EUPPEP2";"quadrat9";1;19,9;21;18;0;1
"EUPPEP2";"quadrat10";2;13,4;18;17;0;1
"EVAPYG";"quadrat1";96;12,6;41;23;2,8;1
"EVAPYG";"quadrat2";98;9,9;218;58;2,2;1
"EVAPYG";"quadrat3";97;26,8;0;0;5,8;1
"EVAPYG";"quadrat4";95;14,8;49;24;1,4;1
"EVAPYG";"quadrat5";92;12,7;504;96;1,7;1
"EVAPYG";"quadrat6";97;12,6;192;64;2,1;1
"EVAPYG";"quadrat7";96;10;240;74;3,3;1
"EVAPYG";"quadrat8";95;8,9;0;0;2,4;1
"EVAPYG";"quadrat9";83;7,1;426;84;1,2;1
"EVAPYG";"quadrat10";89;11,1;161;49;1,9;1
"FAGSYL";"quadrat1";3;8,9;31;23;3,5;1
"FAGSYL";"quadrat2";8;12,1;94;40;4,2;1
"FAGSYL";"quadrat3";1;9;2;2;2,3;1
"FAGSYL";"quadrat4";5;9,1;54;25;4,5;1
"FAGSYL";"quadrat5";6;15;61;32;4,7;1
"FAGSYL";"quadrat6";2;11,5;20;16;6,3;1
"FAGSYL";"quadrat7";11;12,9;97;49;3;1
"FAGSYL";"quadrat8";0;10,7;0;0;4,2;1
"FAGSYL";"quadrat9";4;12,7;21;20;5,5;1
"FAGSYL";"quadrat10";12;9,8;203;62;6;1
"HIEsp";"quadrat1";94;19,4;35;16;10,9;2
"HIEsp";"quadrat2";9;13,8;41;22;2,2;2
"HIEsp";"quadrat3";14;39,4;4;4;2,8;2
"HIEsp";"quadrat4";20;32,1;58;31;1,9;2
"HIEsp";"quadrat5";22;34,6;14;12;3,5;2
"HIEsp";"quadrat6";12;24,9;40;29;1,9;2
"HIEsp";"quadrat7";91;31,3;34;18;4,8;2
"HIEsp";"quadrat8";4;19,1;2;1;1,9;2
"HIEsp";"quadrat9";84;25,1;73;30;6;2
"HIEsp";"quadrat10";82;39,4;19;12;5,7;2
"LIMGIR";"quadrat1";6;NA;121;59;0;1
"LIMGIR";"quadrat2";3;NA;32;26;0;1
"LIMGIR";"quadrat3";2;NA;5;5;0;1
"LIMGIR";"quadrat4";7;NA;71;43;0;1
"LIMGIR";"quadrat5";2;NA;24;19;0;1
"LIMGIR";"quadrat6";6;NA;14;12;0;1
"LIMGIR";"quadrat7";5;NA;108;62;0;1
"LIMGIR";"quadrat8";3;NA;0;0;0;1
"LIMGIR";"quadrat9";3;NA;29;25;0;1
"LIMGIR";"quadrat10";12;NA;47;37;0;1
"LIMNAR";"quadrat1";28;18,3;53;26;7,9;3
"LIMNAR";"quadrat2";38;41,7;63;24;10,2;3
"LIMNAR";"quadrat3";64;43,7;74;41;10,3;3
"LIMNAR";"quadrat4";26;19,6;59;31;5,7;3
"LIMNAR";"quadrat5";94;23,7;81;34;9,8;3
"LIMNAR";"quadrat6";84;33;96;46;5,3;3
"LIMNAR";"quadrat7";92;38,1;83;37;7,2;3
"LIMNAR";"quadrat8";96;31,6;11;8;12,6;3
"LIMNAR";"quadrat9";77;26,3;96;29;7,1;3
"LIMNAR";"quadrat10";43;31,3;27;15;10;3
"LINVUL";"quadrat1";100;83,4;27;11;47;3
"LINVUL";"quadrat2";100;77,9;36;27;37,1;3
"LINVUL";"quadrat3";100;63,6;0;0;38,6;3
"LINVUL";"quadrat4";100;112,3;7;3;44,9;3
"LINVUL";"quadrat5";100;65;84;45;40,2;3
"LINVUL";"quadrat6";100;104,8;19;17;49,1;3
"LINVUL";"quadrat7";100;52,5;242;77;39,3;3
"LINVUL";"quadrat8";100;72,3;0;0;41;3
"LINVUL";"quadrat9";100;73,9;98;44;39,7;3
"LINVUL";"quadrat10";99;76,9;44;16;47;3
"MELARV";"quadrat1";100;63,6;92;41;29,8;3
"MELARV";"quadrat2";97;68,7;102;59;28,7;3
"MELARV";"quadrat3";96;53,9;13;13;30,5;3
"MELARV";"quadrat4";96;78,1;68;49;34;3
"MELARV";"quadrat5";99;75;27;22;28,4;3
"MELARV";"quadrat6";84;69,5;21;18;25,4;3
"MELARV";"quadrat7";93;55,5;36;25;33,2;3
"MELARV";"quadrat8";100;63,8;5;5;32,9;3
"MELARV";"quadrat9";91;64,2;19;16;17,9;3
"MELARV";"quadrat10";98;80,9;27;24;37,5;3
"MENSUA";"quadrat1";97;64,3;55;27;27,4;4
"MENSUA";"quadrat2";100;64,4;16;12;22,4;4
"MENSUA";"quadrat3";99;56,5;0;0;36;4
"MENSUA";"quadrat4";99;58,3;185;55;13,5;4
"MENSUA";"quadrat5";100;63,3;51;30;27,4;4
"MENSUA";"quadrat6";100;80,4;19;17;22,8;4
"MENSUA";"quadrat7";100;55;78;46;23,4;4
"MENSUA";"quadrat8";100;96,3;0;0;43,4;4
"MENSUA";"quadrat9";99;40,8;64;44;16,3;4
"MENSUA";"quadrat10";100;64,9;41;31;23,3;4
"OPHLUT";"quadrat1";89;41,8;20;17;10,5;2
"OPHLUT";"quadrat2";85;37,9;16;12;10,8;2
"OPHLUT";"quadrat3";91;48;0;0;9,5;2
"OPHLUT";"quadrat4";90;45,2;20;18;8,6;2
"OPHLUT";"quadrat5";93;34,6;13;10;12,5;2
"OPHLUT";"quadrat6";85;40,3;6;5;12;2
"OPHLUT";"quadrat7";90;52,4;19;17;15,4;2
"OPHLUT";"quadrat8";92;31,5;0;0;16,1;2
"OPHLUT";"quadrat9";86;52,7;26;23;10,4;2
"OPHLUT";"quadrat10";96;36,2;13;11;10,7;2
"ORNANG";"quadrat1";94;26;32;25;13,1;3
"ORNANG";"quadrat2";93;53,5;41;31;8,9;3
"ORNANG";"quadrat3";95;28,7;0;0;14,4;3
"ORNANG";"quadrat4";88;36,7;55;34;18,1;3
"ORNANG";"quadrat5";84;38,3;44;30;10,1;3
"ORNANG";"quadrat6";96;36,6;21;20;9,7;3
"ORNANG";"quadrat7";89;43,4;112;61;8,7;3
"ORNANG";"quadrat8";95;40,2;7;6;8,8;3
"ORNANG";"quadrat9";94;38,2;40;28;9,4;3
"ORNANG";"quadrat10";92;36,8;21;18;9,9;3
"PLALAN";"quadrat1";14;53;19;16;0;1
"PLALAN";"quadrat2";19;9;197;52;0;1
"PLALAN";"quadrat3";7;23;11;10;0;1
"PLALAN";"quadrat4";12;14;84;50;0;1
"PLALAN";"quadrat5";12;9;161;69;0,6;1
"PLALAN";"quadrat6";14;17;126;59;1,2;1
"PLALAN";"quadrat7";16;13;240;75;0;1
"PLALAN";"quadrat8";11;126;1;1;0,6;1
"PLALAN";"quadrat9";22;8;209;80;0,8;1
"PLALAN";"quadrat10";18;13;48;32;0,3;1
"RUMACE";"quadrat1";97;71,1;75;40;30,6;2
"RUMACE";"quadrat2";99;63,1;191;81;28,4;2
"RUMACE";"quadrat3";97;100,4;0;0;36,1;2
"RUMACE";"quadrat4";90;87,8;322;95;36,5;2
"RUMACE";"quadrat5";98;92,2;41;33;30,1;2
"RUMACE";"quadrat6";99;73,6;54;35;41,1;2
"RUMACE";"quadrat7";98;96,9;49;23;32,8;2
"RUMACE";"quadrat8";98;82,7;0;0;49;2
"RUMACE";"quadrat9";97;64,5;229;80;27,7;2
"RUMACE";"quadrat10";93;84,4;45;29;25,6;2
"SANMIN";"quadrat1";37;23,8;169;60;0;2
"SANMIN";"quadrat2";66;31,3;86;51;0,8;2
"SANMIN";"quadrat3";29;54,8;4;4;3,9;2
"SANMIN";"quadrat4";23;77,2;75;43;0;2
"SANMIN";"quadrat5";38;31,6;7;7;0,4;2
"SANMIN";"quadrat6";32;46;19;11;1;2
"SANMIN";"quadrat7";72;21,8;102;46;2,3;2
"SANMIN";"quadrat8";55;41,4;9;9;3,4;2
"SANMIN";"quadrat9";78;44,5;47;35;1,9;2
"SANMIN";"quadrat10";34;33,3;10;8;0,9;2
"SCAATR";"quadrat1";81;52,9;7;6;13;2
"SCAATR";"quadrat2";93;58,1;67;34;11;2
"SCAATR";"quadrat3";90;46;0;0;17,5;2
"SCAATR";"quadrat4";89;59,4;272;87;16,3;2
"SCAATR";"quadrat5";97;44,1;49;29;18,3;2
"SCAATR";"quadrat6";98;55,2;32;25;21,5;2
"SCAATR";"quadrat7";96;50,3;323;86;10,6;2
"SCAATR";"quadrat8";86;92,5;0;0;16,2;2
"SCAATR";"quadrat9";95;83,8;154;75;12,9;2
"SCAATR";"quadrat10";99;51,3;27;20;19,7;2
"SHEARV";"quadrat1";76;31,9;50;36;3,7;1
"SHEARV";"quadrat2";83;32,4;118;57;5,8;1
"SHEARV";"quadrat3";85;24,3;10;9;7,1;1
"SHEARV";"quadrat4";77;24,1;131;49;6,3;1
"SHEARV";"quadrat5";86;26,4;18;14;6,5;1
"SHEARV";"quadrat6";92;25,4;68;44;10,5;1
"SHEARV";"quadrat7";92;18,7;16;7;9,9;1
"SHEARV";"quadrat8";86;23,5;15;13;7,5;1
"SHEARV";"quadrat9";84;35,6;39;31;8,2;1
"SHEARV";"quadrat10";74;22,5;32;21;5,1;1
"VERCHA";"quadrat1";92;56,7;45;34;13,5;3
"VERCHA";"quadrat2";95;50,2;70;49;18,4;3
"VERCHA";"quadrat3";87;62,6;13;4;21,7;3
"VERCHA";"quadrat4";95;41,8;179;75;25;3
"VERCHA";"quadrat5";94;48,2;127;58;11,9;3
"VERCHA";"quadrat6";98;49,2;58;42;11,4;3
"VERCHA";"quadrat7";94;43,8;93;38;7,1;3
"VERCHA";"quadrat8";97;62,2;3;2;15,8;3
"VERCHA";"quadrat9";94;53,3;95;44;9,2;3
"VERCHA";"quadrat10";95;47;22;18;16,3;3
