"species";"quadrat_num";"vegetation_cover";"height_max";"count_TRUE";"occupied_cells_TRUE";"veg_height_median";"species_conspicuousness";"habitat_closure"
"AMBART";"quadrat6";13;74,5;15;13;2,4;2;-1,55908052856005
"AMBART";"quadrat7";13;97,7;171;48;3,4;2;-1,50471601048207
"AMBART";"quadrat8";5;52,6;0;0;0;2;NA
"AMBART";"quadrat9";14;42,3;187;54;0;2;-1,66997353441023
"AMBART";"quadrat10";8;71,4;17;10;0;2;-1,78746455963211
"ANAPYR";"quadrat1";91;67,2;26;16;20,1;4;0,930554769304661
"ANAPYR";"quadrat2";80;66,2;44;34;17,4;4;0,56837035758733
"ANAPYR";"quadrat3";82;39,2;0;0;15,6;4;NA
"ANAPYR";"quadrat4";79;71;24;19;22,3;4;0,815174658632459
"ANAPYR";"quadrat5";75;49,6;17;15;20;4;0,611808916905182
"ANAPYR";"quadrat6";94;60,8;60;46;24,3;4;1,21763125784312
"ANAPYR";"quadrat7";78;69,6;65;50;11,4;4;0,203019574045482
"ANAPYR";"quadrat8";87;69,5;0;0;18,6;4;NA
"ANAPYR";"quadrat9";92;84,6;39;30;22;4;1,05342919118981
"ANAPYR";"quadrat10";87;62;58;41;10,7;4;0,341200949223716
"BRORUB";"quadrat1";34;14,8;83;46;3,4;1;-1,09349742220549
"BRORUB";"quadrat2";32;25,5;76;41;2,6;1;-1,17615271174184
"BRORUB";"quadrat3";37;33,1;5;1;5;1;-0,94776868066978
"BRORUB";"quadrat4";25;24,6;118;45;1,3;1;-1,38389944800207
"BRORUB";"quadrat5";45;24,6;8;7;4,7;1;-0,807423335797334
"BRORUB";"quadrat6";35;39,5;9;8;3,5;1;-1,06847913286071
"BRORUB";"quadrat7";26;25,1;295;79;6,4;1;-1,08705856826739
"BRORUB";"quadrat8";76;26,9;1;1;6,3;1;-0,113403143226183
"BRORUB";"quadrat9";46;19,4;81;41;5,4;1;-0,749786335605767
"BRORUB";"quadrat10";24;18,4;235;57;3,9;1;-1,2621335385363
"CALARV2";"quadrat1";70;59;13;8;1,9;2;-0,470098047991181
"CALARV2";"quadrat2";86;15,5;20;13;3;2;-0,096987677513721
"CALARV2";"quadrat3";89;18,8;1;1;4,7;2;0,0541775158297874
"CALARV2";"quadrat4";75;23,8;68;38;4,2;2;-0,247150468726924
"CALARV2";"quadrat5";87;11,5;36;21;3,1;2;-0,0719693881689428
"CALARV2";"quadrat6";88;18,9;31;19;2,5;2;-0,0850062614787516
"CALARV2";"quadrat7";84;17,3;116;58;2,9;2;-0,141587804395479
"CALARV2";"quadrat8";71;12,2;0;0;2,4;2;NA
"CALARV2";"quadrat9";96;19,8;48;34;3,9;2;0,147758764126263
"CALARV2";"quadrat10";87;17,5;27;24;2,5;2;-0,104588099015732
"CARFLA";"quadrat1";89;40;56;34;7,9;1;0,228143973679328
"CARFLA";"quadrat2";69;45,1;95;39;0;1;-0,592972469876326
"CARFLA";"quadrat3";66;28,7;0;0;12,3;1;NA
"CARFLA";"quadrat4";98;50;98;48;16,6;1;0,877351818790586
"CARFLA";"quadrat5";72;26,3;78;44;5,1;1;-0,256967915067681
"CARFLA";"quadrat6";84;30,2;86;37;7,6;1;0,113925430571033
"CARFLA";"quadrat7";94;34,5;113;53;9,7;1;0,423909293904594
"CARFLA";"quadrat8";86;38,8;0;0;18,2;1;NA
"CARFLA";"quadrat9";94;34,2;244;67;9,1;1;0,391290583057806
"CARFLA";"quadrat10";95;56,7;128;49;15,7;1;0,769678239909463
"CHRALT";"quadrat1";99;22,8;57;28;10,1;2;0,543564288820687
"CHRALT";"quadrat2";98;17,4;100;34;5,8;2;0,290215023548387
"CHRALT";"quadrat3";100;20,4;0;0;4,7;2;NA
"CHRALT";"quadrat4";94;19,1;16;5;4,3;2;0,130340896283495
"CHRALT";"quadrat5";98;13,7;10;8;3,3;2;0,154303728353434
"CHRALT";"quadrat6";100;13,4;34;17;4,4;2;0,253268373313173
"CHRALT";"quadrat7";99;17,6;75;34;7,2;2;0,385907186394541
"CHRALT";"quadrat8";97;20,6;0;0;5,7;2;NA
"CHRALT";"quadrat9";100;17,7;240;72;7,5;2;0,421798379354916
"CHRALT";"quadrat10";99;15,1;32;17;4,8;2;0,255432343007386
"EPIAPH";"quadrat1";90;36,2;5;3;3,1;2;-0,0132238755580027
"EPIAPH";"quadrat2";98;57,5;5;3;5,4;2;0,268469216317195
"EPIAPH";"quadrat3";98;21,8;0;0;3,4;2;NA
"EPIAPH";"quadrat4";97;71,9;47;8;6;2;0,281506089627004
"EPIAPH";"quadrat5";87;27,6;10;3;3;2;-0,077405839976741
"EPIAPH";"quadrat6";98;21,6;5;3;5,5;2;0,273905668124993
"EPIAPH";"quadrat7";32;31,7;4;1;9,8;2;-0,78472818158037
"EPIAPH";"quadrat8";97;32,1;0;0;8,7;2;NA
"EPIAPH";"quadrat9";7;14,8;4;4;2,9;2;-1,64938929474294
"EPIAPH";"quadrat10";28;22;3;1;1,8;2;-1,29797167635214
"EQUTEL";"quadrat1";97;81,7;9;7;45,9;4;2,45065036093846
"EQUTEL";"quadrat2";96;105,5;39;28;35;4;1,83849527635148
"EQUTEL";"quadrat3";97;106;1;1;35,7;4;1,89613227654305
"EQUTEL";"quadrat4";95;107,9;59;41;49,6;4;2,61263540275303
"EQUTEL";"quadrat5";100;94,8;28;25;53,5;4;2,92256621094206
"EQUTEL";"quadrat6";98;99,9;16;13;32,7;4;1,75262055984609
"EQUTEL";"quadrat7";86;83,2;69;52;22,7;4;0,973993328622512
"EQUTEL";"quadrat8";95;112,5;0;0;62,9;4;NA
"EQUTEL";"quadrat9";99;75;16;14;63,6;4;3,45206600599269
"EQUTEL";"quadrat10";98;84,4;34;26;30,7;4;1,64389152369012
"ERIANN";"quadrat1";96;98,3;40;22;50,5;4;2,68114530656019
"ERIANN";"quadrat2";97;91,6;75;43;53,5;4;2,86382069833112
"ERIANN";"quadrat3";100;109,4;0;0;33,4;4;NA
"ERIANN";"quadrat4";99;87,2;51;35;42,8;4;2,32128402997068
"ERIANN";"quadrat5";97;100,1;16;12;26,5;4;1,39597871022562
"ERIANN";"quadrat6";100;103,9;23;15;37,7;4;2,06360682530995
"ERIANN";"quadrat7";98;68,4;10;8;25,7;4;1,37206893330022
"ERIANN";"quadrat8";98;129,7;0;0;54,7;4;NA
"ERIANN";"quadrat9";96;89,7;58;31;37,8;4;1,99071592696983
"ERIANN";"quadrat10";97;92,2;19;16;29,7;4;1,56994516807516
"EROCIC";"quadrat1";35;28,7;33;26;3,2;1;-1,08478848828411
"EROCIC";"quadrat2";30;30,6;24;22;3,9;1;-1,14464251331442
"EROCIC";"quadrat3";38;16,4;1;1;1,4;1;-1,12389910821353
"EROCIC";"quadrat4";43;29,2;19;14;4,3;1;-0,868332818102487
"EROCIC";"quadrat5";46;23,6;13;12;2,6;1;-0,902006986224115
"EROCIC";"quadrat6";16;39,3;27;22;1,9;1;-1,5275172749881
"EROCIC";"quadrat7";15;23;38;29;0,4;1;-1,62864588964206
"EROCIC";"quadrat8";52;50,3;0;0;3,3;1;NA
"EROCIC";"quadrat9";42;26,2;58;40;2,6;1;-0,980334336372035
"EROCIC";"quadrat10";50;26,1;10;7;4,3;1;-0,731259955343627
"EUPHEL";"quadrat1";98;44,9;26;16;9,4;3;0,48592728862912
"EUPHEL";"quadrat2";97;43,2;88;45;10,4;3;0,520709969170122
"EUPHEL";"quadrat3";98;39,2;1;1;6,2;3;0,31196083077958
"EUPHEL";"quadrat4";96;59,5;46;28;8,5;3;0,397835547284977
"EUPHEL";"quadrat5";99;27,5;11;10;7,6;3;0,407652993625734
"EUPHEL";"quadrat6";100;38,3;21;17;9,4;3;0,52509096370308
"EUPHEL";"quadrat7";96;40,5;77;41;7,2;3;0,327161673783601
"EUPHEL";"quadrat8";100;73,4;0;0;9,1;3;NA
"EUPHEL";"quadrat9";97;29,7;35;23;7,1;3;0,341307059512783
"EUPHEL";"quadrat10";100;28,4;38;24;6,2;3;0,35112450585354
"EUPPEP2";"quadrat1";4;32,3;6;6;0;1;-1,86579190978003
"EUPPEP2";"quadrat2";2;30,4;55;43;0;1;-1,90495558485399
"EUPPEP2";"quadrat3";0;0;1;1;0;1;-1,94411925992795
"EUPPEP2";"quadrat4";3;26,6;19;16;0;1;-1,88537374731701
"EUPPEP2";"quadrat5";2;24,5;14;9;0;1;-1,90495558485399
"EUPPEP2";"quadrat6";4;22,7;12;10;0;1;-1,86579190978003
"EUPPEP2";"quadrat7";2;20,4;57;39;0;1;-1,90495558485399
"EUPPEP2";"quadrat8";1;23,3;15;13;2;1;-1,81580838623501
"EUPPEP2";"quadrat9";1;19,9;21;18;0;1;-1,92453742239097
"EUPPEP2";"quadrat10";2;13,4;18;17;0;1;-1,90495558485399
"EVAPYG";"quadrat1";96;12,6;41;23;2,8;1;0,0879577942404831
"EVAPYG";"quadrat2";98;9,9;218;58;2,2;1;0,0945027584676545
"EVAPYG";"quadrat3";97;26,8;0;0;5,8;1;NA
"EVAPYG";"quadrat4";95;14,8;49;24;1,4;1;-0,00773436860567078
"EVAPYG";"quadrat6";97;12,6;192;64;2,1;1;0,0694844691228761
"EVAPYG";"quadrat7";96;10;240;74;3,3;1;0,115140053279474
"EVAPYG";"quadrat8";95;8,9;0;0;2,4;1;NA
"EVAPYG";"quadrat10";89;11,1;161;49;1,9;1;-0,0980431347885604
"FAGSYL";"quadrat1";3;8,9;31;23;3,5;1;-1,69509793404407
"FAGSYL";"quadrat2";8;12,1;94;40;4,2;1;-1,55913358370459
"FAGSYL";"quadrat3";1;9;2;2;2,3;1;-1,79949903081161
"FAGSYL";"quadrat4";5;9,1;54;25;4,5;1;-1,60156974089213
"FAGSYL";"quadrat5";6;15;61;32;4,7;1;-1,57111499973956
"FAGSYL";"quadrat6";2;11,5;20;16;6,3;1;-1,56245912096271
"FAGSYL";"quadrat7";11;12,9;97;49;3;1;-1,56562549278722
"FAGSYL";"quadrat8";0;10,7;0;0;4,2;1;NA
"FAGSYL";"quadrat9";4;12,7;21;20;5,5;1;-1,56678706035113
"FAGSYL";"quadrat10";12;9,8;203;62;6;1;-1,3829501010163
"HIEsp";"quadrat1";94;19,4;35;16;10,9;2;0,489146715598172
"HIEsp";"quadrat2";9;13,8;41;22;2,2;2;-1,64828078232357
"HIEsp";"quadrat3";14;39,4;4;4;2,8;2;-1,51775288379188
"HIEsp";"quadrat4";20;32,1;58;31;1,9;2;-1,44918992484018
"HIEsp";"quadrat5";22;34,6;14;12;3,5;2;-1,32304302084145
"HIEsp";"quadrat6";12;24,9;40;29;1,9;2;-1,60584462513602
"HIEsp";"quadrat7";91;31,3;34;18;4,8;2;0,0987776427115457
"HIEsp";"quadrat8";4;19,1;2;1;1,9;2;-1,76249932543186
"HIEsp";"quadrat9";84;25,1;73;30;6;2;0,026942201646263
"HIEsp";"quadrat10";82;39,4;19;12;5,7;2;-0,0285308288510915
"LIMGIR";"quadrat1";6;NA;121;59;0;1;-1,82662823470607
"LIMGIR";"quadrat2";3;NA;32;26;0;1;-1,88537374731701
"LIMGIR";"quadrat3";2;NA;5;5;0;1;-1,90495558485399
"LIMGIR";"quadrat4";7;NA;71;43;0;1;-1,80704639716909
"LIMGIR";"quadrat5";2;NA;24;19;0;1;-1,90495558485399
"LIMGIR";"quadrat6";6;NA;14;12;0;1;-1,82662823470607
"LIMGIR";"quadrat7";5;NA;108;62;0;1;-1,84621007224305
"LIMGIR";"quadrat8";3;NA;0;0;0;1;NA
"LIMGIR";"quadrat9";3;NA;29;25;0;1;-1,88537374731701
"LIMGIR";"quadrat10";12;NA;47;37;0;1;-1,70913720948419
"LIMNAR";"quadrat1";28;18,3;53;26;7,9;3;-0,966348116076455
"LIMNAR";"quadrat2";38;41,7;63;24;10,2;3;-0,645491349127297
"LIMNAR";"quadrat3";64;43,7;74;41;10,3;3;-0,130927121358018
"LIMNAR";"quadrat4";26;19,6;59;31;5,7;3;-1,12511373092197
"LIMNAR";"quadrat5";94;23,7;81;34;9,8;3;0,429345745712393
"LIMNAR";"quadrat6";84;33;96;46;5,3;3;-0,0111129610083239
"LIMNAR";"quadrat7";92;38,1;83;37;7,2;3;0,248834323635681
"LIMNAR";"quadrat8";96;31,6;11;8;12,6;3;0,620730071404701
"LIMNAR";"quadrat9";77;26,3;96;29;7,1;3;-0,0503296912268177
"LIMNAR";"quadrat10";43;31,3;27;15;10;3;-0,558455065057993
"LINVUL";"quadrat1";100;83,4;27;11;47;3;2,56919684343518
"LINVUL";"quadrat2";100;77,9;36;27;37,1;3;2,03098811446316
"LINVUL";"quadrat3";100;63,6;0;0;38,6;3;NA
"LINVUL";"quadrat4";100;112,3;7;3;44,9;3;2,45503135547142
"LINVUL";"quadrat5";100;65;84;45;40,2;3;2,19951812050491
"LINVUL";"quadrat6";100;104,8;19;17;49,1;3;2,68336233139894
"LINVUL";"quadrat7";100;52,5;242;77;39,3;3;2,15059005423472
"LINVUL";"quadrat8";100;72,3;0;0;41;3;NA
"LINVUL";"quadrat9";100;73,9;98;44;39,7;3;2,17233586146592
"LINVUL";"quadrat10";99;76,9;44;16;47;3;2,5496150058982
"MELARV";"quadrat1";100;63,6;92;41;29,8;3;1,6341271324939
"MELARV";"quadrat2";97;68,7;102;59;28,7;3;1,51558064999718
"MELARV";"quadrat3";96;53,9;13;13;30,5;3;1,59385494500057
"MELARV";"quadrat4";96;78,1;68;49;34;3;1,7841307582735
"MELARV";"quadrat5";99;75;27;22;28,4;3;1,53843496964775
"MELARV";"quadrat6";84;69,5;21;18;25,4;3;1,0816138523591
"MELARV";"quadrat7";93;55,5;36;25;33,2;3;1,68189363120018
"MELARV";"quadrat8";100;63,8;5;5;32,9;3;1,80265713853564
"MELARV";"quadrat9";91;64,2;19;16;17,9;3;0,810952829533102
"MELARV";"quadrat10";98;80,9;27;24;37,5;3;2,0135702466204
"MENSUA";"quadrat1";97;64,3;55;27;27,4;4;1,4449067764958
"MENSUA";"quadrat2";100;64,4;16;12;22,4;4;1,23182969871684
"MENSUA";"quadrat3";99;56,5;0;0;36;4;NA
"MENSUA";"quadrat4";99;58,3;185;55;13,5;4;0,728403650285824
"MENSUA";"quadrat5";100;63,3;51;30;27,4;4;1,50365228910674
"MENSUA";"quadrat6";100;80,4;19;17;22,8;4;1,25357550594803
"MENSUA";"quadrat7";100;55;78;46;23,4;4;1,28619421679482
"MENSUA";"quadrat8";100;96,3;0;0;43,4;4;NA
"MENSUA";"quadrat9";99;40,8;64;44;16,3;4;0,880624300904172
"MENSUA";"quadrat10";100;64,9;41;31;23,3;4;1,28075776498702
"OPHLUT";"quadrat1";89;41,8;20;17;10,5;2;0,369491720682079
"OPHLUT";"quadrat2";85;37,9;16;12;10,8;2;0,307473725957554
"OPHLUT";"quadrat3";91;48;0;0;9,5;2;NA
"OPHLUT";"quadrat4";90;45,2;20;18;8,6;2;0,285780973870895
"OPHLUT";"quadrat5";93;34,6;13;10;12,5;2;0,556548106985962
"OPHLUT";"quadrat6";85;40,3;6;5;12;2;0,372711147651131
"OPHLUT";"quadrat7";90;52,4;19;17;15,4;2;0,655459696801168
"OPHLUT";"quadrat8";92;31,5;0;0;16,1;2;NA
"OPHLUT";"quadrat9";86;52,7;26;23;10,4;2;0,305309756263341
"OPHLUT";"quadrat10";96;36,2;13;11;10,7;2;0,517437487056536
"ORNANG";"quadrat1";94;26;32;25;13,1;3;0,608748655369731
"ORNANG";"quadrat2";93;53,5;41;31;8,9;3;0,360835841905229
"ORNANG";"quadrat3";95;28,7;0;0;14,4;3;NA
"ORNANG";"quadrat4";88;36,7;55;34;18,1;3;0,763080220537758
"ORNANG";"quadrat5";84;38,3;44;30;10,1;3;0,249836725765987
"ORNANG";"quadrat6";96;36,6;21;20;9,7;3;0,463072968978555
"ORNANG";"quadrat7";89;43,4;112;61;8,7;3;0,271635588141713
"ORNANG";"quadrat8";95;40,2;7;6;8,8;3;0,394563065171391
"ORNANG";"quadrat9";94;38,2;40;28;9,4;3;0,4075999384812
"ORNANG";"quadrat10";92;36,8;21;18;9,9;3;0,395618522446231
"PLALAN";"quadrat1";14;53;19;16;0;1;-1,66997353441023
"PLALAN";"quadrat2";19;9;197;52;0;1;-1,57206434672533
"PLALAN";"quadrat3";7;23;11;10;0;1;-1,80704639716909
"PLALAN";"quadrat4";12;14;84;50;0;1;-1,70913720948419
"PLALAN";"quadrat5";12;9;161;69;0,6;1;-1,6765184986374
"PLALAN";"quadrat6";14;17;126;59;1,2;1;-1,60473611271665
"PLALAN";"quadrat7";16;13;240;75;0;1;-1,63080985933627
"PLALAN";"quadrat8";11;126;1;1;0,6;1;-1,69610033617438
"PLALAN";"quadrat9";22;8;209;80;0,8;1;-1,469827219652
"PLALAN";"quadrat10";18;13;48;32;0,3;1;-1,57533682883891
"RUMACE";"quadrat1";97;71,1;75;40;30,6;2;1,61887323434535
"RUMACE";"quadrat2";99;63,1;191;81;28,4;2;1,53843496964775
"RUMACE";"quadrat3";97;100,4;0;0;36,1;2;NA
"RUMACE";"quadrat5";98;92,2;41;33;30,1;2;1,61127281284333
"RUMACE";"quadrat6";99;73,6;54;35;41,1;2;2,22886434923811
"RUMACE";"quadrat7";98;96,9;49;23;32,8;2;1,75805701165388
"RUMACE";"quadrat8";98;82,7;0;0;49;2;NA
"RUMACE";"quadrat9";97;64,5;229;80;27,7;2;1,4612161319192
"RUMACE";"quadrat10";93;84,4;45;29;25,6;2;1,26872329380752
"SANMIN";"quadrat1";37;23,8;169;60;0;2;-1,21959127105969
"SANMIN";"quadrat2";66;31,3;86;51;0,8;2;-0,608226368024881
"SANMIN";"quadrat3";29;54,8;4;4;3,9;2;-1,1642243508514
"SANMIN";"quadrat4";23;77,2;75;43;0;2;-1,49373699657741
"SANMIN";"quadrat5";38;31,6;7;7;0,4;2;-1,17826362629151
"SANMIN";"quadrat6";32;46;19;11;1;2;-1,26313594066661
"SANMIN";"quadrat7";72;21,8;102;46;2,3;2;-0,409188565686029
"SANMIN";"quadrat8";55;41,4;9;9;3,4;2;-0,68227883392891
"SANMIN";"quadrat9";78;44,5;47;35;1,9;2;-0,313443347695341
"SANMIN";"quadrat10";34;33,3;10;8;0,9;2;-1,22940871740044
"SCAATR";"quadrat1";81;52,9;7;6;13;2;0,348748315581193
"SCAATR";"quadrat2";93;58,1;67;34;11;2;0,47500132986899
"SCAATR";"quadrat3";90;46;0;0;17,5;2;NA
"SCAATR";"quadrat4";89;59,4;272;87;16,3;2;0,684805925534371
"SCAATR";"quadrat5";97;44,1;49;29;18,3;2;0,950189661986174
"SCAATR";"quadrat6";98;55,2;32;25;21,5;2;1,14373795737269
"SCAATR";"quadrat8";86;92,5;0;0;16,2;2;NA
"SCAATR";"quadrat9";95;83,8;154;75;12,9;2;0,617457589291115
"SCAATR";"quadrat10";99;51,3;27;20;19,7;2;1,06546366236931
"SHEARV";"quadrat1";76;31,9;50;36;3,7;1;-0,254750890228934
"SHEARV";"quadrat2";83;32,4;118;57;5,8;1;-0,00351253950631325
"SHEARV";"quadrat3";85;24,3;10;9;7,1;1;0,106325009069023
"SHEARV";"quadrat4";77;24,1;131;49;6,3;1;-0,0938213056892028
"SHEARV";"quadrat5";86;26,4;18;14;6,5;1;0,0932881357592139
"SHEARV";"quadrat6";92;25,4;68;44;10,5;1;0,42823723329302
"SHEARV";"quadrat7";92;18,7;16;7;9,9;1;0,395618522446231
"SHEARV";"quadrat8";86;23,5;15;13;7,5;1;0,147652653837195
"SHEARV";"quadrat9";84;35,6;39;31;8,2;1;0,146544141417822
"SHEARV";"quadrat10";74;22,5;32;21;5,1;1;-0,217804239993721
"VERCHA";"quadrat1";92;56,7;45;34;13,5;3;0,591330787526964
"VERCHA";"quadrat2";95;50,2;70;49;18,4;3;0,916462438720012
"VERCHA";"quadrat3";87;62,6;13;4;21,7;3;0,939210648081511
"VERCHA";"quadrat4";95;41,8;179;75;25;3;1,27526825803469
"VERCHA";"quadrat5";94;48,2;127;58;11,9;3;0,543511233676154
"VERCHA";"quadrat6";98;49,2;58;42;11,4;3;0,594656324785083
"VERCHA";"quadrat7";94;43,8;93;38;7,1;3;0,282561546901843
"VERCHA";"quadrat8";97;62,2;3;2;15,8;3;0,814278366791221
"VERCHA";"quadrat9";94;53,3;95;44;9,2;3;0,396727034865604
"VERCHA";"quadrat10";95;47;22;18;16,3;3;0,802296950756252
