"species";"obs_id";"obs_letter";"metric";"quadrat1";"quadrat2";"quadrat3";"quadrat4";"quadrat5";"quadrat6";"quadrat7";"quadrat8";"quadrat9";"quadrat10"
"ALLsp";"experimenter";"experimenter";"count_TRUE";"20";"134";"5";"57";"99";"63";"209";"0";"82";"60"
"ALLsp";"experimenter";"experimenter";"occupied_cells_TRUE";"6";"21";"5";"27";"48";"26";"62";"0";"24";"29"
"ALLsp";"experimenter";"experimenter";"height_B2";"3,1";"1,9";"3";"4,1";"7,5";"11,9";"4,8";"0,9";"2,4";"3,6"
"ALLsp";"experimenter";"experimenter";"height_E2";"3";"4,3";"4,1";"3,2";"4";"3,2";"9,4";"1,8";"6,1";"1,4"
"ALLsp";"experimenter";"experimenter";"height_H2";"3,9";"2,4";"8,1";"4,4";"3,5";"10,8";"5,1";"3,8";"4,5";"10,7"
"ALLsp";"experimenter";"experimenter";"height_B5";"3,2";"0";"4";"0,8";"3,6";"16";"1,9";"2,2";"1,5";"2,3"
"ALLsp";"experimenter";"experimenter";"height_E5";"1,2";"0,2";"2,2";"1,6";"6";"2,4";"8,6";"2";"2,4";"6,4"
"ALLsp";"experimenter";"experimenter";"height_H5";"12,8";"0,6";"3,6";"1,2";"2,2";"0";"1,8";"2,5";"2,8";"4,2"
"ALLsp";"experimenter";"experimenter";"height_B8";"1,7";"0,8";"2,2";"0,9";"3,1";"5,3";"2,1";"0,4";"6,2";"1,9"
"ALLsp";"experimenter";"experimenter";"height_E8";"0,4";"0,9";"3,4";"2,4";"4";"0";"1,7";"0,3";"1,4";"5"
"ALLsp";"experimenter";"experimenter";"height_H8";"1,3";"1,3";"2,8";"0";"1,5";"4,4";"4,2";"0";"2,3";"1,8"
"ALLsp";"obs_bqiy";"A";"count_30s";"23";"60";"1";"27";"45";"58";"46";"5";"47";"20"
"ALLsp";"obs_bqiy";"A";"count_1m";"22";"108";"1";"33";"59";"61";"116";"12";"79";"52"
"ALLsp";"obs_bqiy";"A";"counting_time_1m";"122";"185";"130";"100";"135";"110";"191";"105";"144";"165"
"ALLsp";"obs_bqiy";"A";"count_cells";"21";"125";"3";"63";"111";"65";"191";"0";"85";"65"
"ALLsp";"obs_bqiy";"A";"counting_time_cells";"401";"627";"214";"714";"1020";"492";"1308";"456";"620";"757"
"ALLsp";"obs_pimm";"C";"count_30s";"11";"18";NA;"10";"15";"30";"15";"0";"25";"13"
"ALLsp";"obs_pimm";"C";"count_1m";"14";"65";"0";"30";"31";"27";"106";"0";"58";"18"
"ALLsp";"obs_pimm";"C";"counting_time_1m";"108";"120";"150";"140";"165";"88";"300";"70";"175";"200"
"ALLsp";"obs_pimm";"C";"count_cells";"16";"105";"0";"21";"77";"50";"128";"1";"69";"40"
"ALLsp";"obs_pimm";"C";"counting_time_cells";"190";"620";"45";"900";"870";"300";"1282";"51";"679";"560"
"ALLsp";"obs_jaho";"E";"count_30s";"15";"35";"0";"20";"55";"65";"60";"0";"40";"20"
"ALLsp";"obs_jaho";"E";"count_1m";"41";"69";"0";"87";"66";"71";"107";"6";"74";"40"
"ALLsp";"obs_jaho";"E";"counting_time_1m";"167";"141";"150";"236";"164";"161";"250";"91";"194";"136"
"ALLsp";"obs_jaho";"E";"count_cells";"20";"117";"1";"86";"93";"136";"160";"1";"87";"63"
"ALLsp";"obs_jaho";"E";"counting_time_cells";"340";"540";"224";"652";"868";"1044";"1252";"151";"516";"693"
"ALLsp";"obs_oxup";"G";"count_30s";"17";"35";"1";"25";"26";"45";"31";"1";"33";"19"
"ALLsp";"obs_oxup";"G";"count_1m";"18";"105";"2";"42";"60";"49";"86";"0";"73";"33"
"ALLsp";"obs_oxup";"G";"counting_time_1m";"90";"292";"198";"167";"159";"149";"160";"145";"200";"206"
"ALLsp";"obs_oxup";"G";"count_cells";"15";"116";"2";"49";"85";"54";"155";"0";"76";"44"
"ALLsp";"obs_oxup";"G";"counting_time_cells";"286";"731";"421";"489";"860";"665";"1210";"203";"825";"1025"
"ALLsp";"obs_hnes";"I";"count_30s";"16";"75";"1";"32";"63";"48";"85";"0";"45";"32"
"ALLsp";"obs_hnes";"I";"count_1m";"18";"106";"0";"42";"39";"53";"118";"0";"68";"32"
"ALLsp";"obs_hnes";"I";"counting_time_1m";"152";"223";"348";"164";"219";"137";"340";"229";"290";"255"
"ALLsp";"obs_hnes";"I";"count_cells";"20";"118";"3";"49";"84";"58";"169";"0";"74";"51"
"ALLsp";"obs_hnes";"I";"counting_time_cells";"315";"575";"226";"600";"606";"504";"964";"190";"560";"560"
"AMBART";"experimenter";"experimenter";"vegetation_cover";"6";"4";"3";"6";"11";"13";"13";"5";"14";"8"
"AMBART";"experimenter";"experimenter";"height_max";"42,2";"40,4";"42,7";"49,8";"34,9";"74,5";"97,7";"52,6";"42,3";"71,4"
"AMBART";"experimenter";"experimenter";"count_TRUE";"49";"36";"0";"10";"81";"15";"171";"0";"187";"17"
"AMBART";"experimenter";"experimenter";"occupied_cells_TRUE";"33";"26";"0";"10";"43";"13";"48";"0";"54";"10"
"AMBART";"experimenter";"experimenter";"height_B2";"3,3";"4,3";"13,5";"0";"7";"6,3";"28";"0";"0";"22,2"
"AMBART";"experimenter";"experimenter";"height_E2";"4,5";"0";"0";"0";"0";"13,4";"0";"4,7";"0";"0"
"AMBART";"experimenter";"experimenter";"height_H2";"6,2";"0";"0";"4,4";"0";"0";"0,6";"0";"0";"0"
"AMBART";"experimenter";"experimenter";"height_B5";"0";"0";"24,8";"12,2";"8,9";"2,2";"4,1";"0";"9,6";"0"
"AMBART";"experimenter";"experimenter";"height_E5";"4,4";"0";"9,2";"0";"0";"2,4";"4,9";"0";"4,8";"3"
"AMBART";"experimenter";"experimenter";"height_H5";"8,4";"5,4";"21,1";"0";"2,3";"16,7";"1,1";"3,5";"3,7";"0"
"AMBART";"experimenter";"experimenter";"height_B8";"0";"0";"3,1";"0";"20,7";"2";"0";"0";"0";"0"
"AMBART";"experimenter";"experimenter";"height_E8";"10,7";"6";"0";"0";"0";"4,8";"8";"0";"0";"1,1"
"AMBART";"experimenter";"experimenter";"height_H8";"5,5";"0";"0";"0";"4,8";"0";"3,4";"4";"6,1";"0"
"AMBART";"obs_xhho";"A";"count_30s";"32";"24";"0";"10";"42";"12";"53";"0";"63";"10"
"AMBART";"obs_xhho";"A";"count_1m";"48";"34";"0";"10";"74";"14";"113";"0";"158";"16"
"AMBART";"obs_xhho";"A";"counting_time_1m";"60";"38";"40";"38";"80";"36";"100";"25";"121";"70"
"AMBART";"obs_xhho";"A";"count_cells";"46";"35";"0";"10";"75";"14";"159";"0";"173";"16"
"AMBART";"obs_xhho";"A";"counting_time_cells";"265";"185";"26";"132";"256";"264";"530";"20";"510";"150"
"AMBART";"obs_kgqc";"C";"count_30s";"20";"20";"0";"7";"25";"4";"30";"0";"30";"6"
"AMBART";"obs_kgqc";"C";"count_1m";"35";"28";"0";"9";"67";"7";"116";"0";"100";"13"
"AMBART";"obs_kgqc";"C";"counting_time_1m";"24";"20";"10";"7";"27";"10";"104";"23";"69";"19"
"AMBART";"obs_kgqc";"C";"count_cells";"38";"32";"0";"8";"69";"11";"143";"0";"153";"13"
"AMBART";"obs_kgqc";"C";"counting_time_cells";"165";"130";"12";"61";"330";"87";"460";"25";"438";"67"
"AMBART";"obs_jxbn";"E";"count_30s";"31";"24";"0";"11";"65";"14";"76";"0";"108";"12"
"AMBART";"obs_jxbn";"E";"count_1m";"34";"31";"0";"7";"73";"10";"107";"0";"110";"16"
"AMBART";"obs_jxbn";"E";"counting_time_1m";"38";"28";"19";"17";"65";"19";"85";"13";"87";"33"
"AMBART";"obs_jxbn";"E";"count_cells";"41";"37";"0";"10";"74";"13";"70";"0";"164";"15"
"AMBART";"obs_jxbn";"E";"counting_time_cells";"206";"192";"15";"164";"434";"132";"362";"15";"382";"140"
"AMBART";"obs_gdvs";"G";"count_30s";"47";"26";"0";"9";"52";"11";"96";"0";"90";"18"
"AMBART";"obs_gdvs";"G";"count_1m";"38";"38";"0";"10";"73";"13";"93";"1";"94";"16"
"AMBART";"obs_gdvs";"G";"counting_time_1m";"47";"42";"33";"19";"73";"21";"108";"15";"86";"61"
"AMBART";"obs_gdvs";"G";"count_cells";"44";"35";"0";"10";"75";"11";"164";"0";"178";"17"
"AMBART";"obs_gdvs";"G";"counting_time_cells";"506";"252";"61";"100";"321";"111";"509";"149";"808";"272"
"AMBART";"obs_dglw";"B";"count_30s";"37";"29";"0";"10";"62";"11";"75";"0";"65";"13"
"AMBART";"obs_dglw";"B";"count_1m";"44";"35";"0";"10";"75";"12";"143";"0";"170";"16"
"AMBART";"obs_dglw";"B";"counting_time_1m";"90";"75";"20";"30";"120";"30";"240";"15";"130";"60"
"AMBART";"obs_dglw";"B";"count_cells";"46";"36";"0";"10";"79";"15";"166";"0";"183";"17"
"AMBART";"obs_dglw";"B";"counting_time_cells";"250";"157";"30";"73";"290";"236";"473";"20";"820";"170"
"AMBART";"obs_aefg";"I";"count_30s";"38";"33";"0";"10";"75";"11";"66";"0";"80";"13"
"AMBART";"obs_aefg";"I";"count_1m";"48";"35";"0";"10";"69";"14";"153";"0";"184";"15"
"AMBART";"obs_aefg";"I";"counting_time_1m";"45";"35";"20";"40";"49";"59";"82";"10";"49";"40"
"AMBART";"obs_aefg";"I";"count_cells";"49";"38";"0";"10";"77";"15";"177";"0";"182";"17"
"AMBART";"obs_aefg";"I";"counting_time_cells";"289";"302";"90";"183";"334";"279";"602";"63";"518";"222"
"ANAPYR";"experimenter";"experimenter";"vegetation_cover";"91";"80";"82";"79";"75";"94";"78";"87";"92";"87"
"ANAPYR";"experimenter";"experimenter";"height_max";"67,2";"66,2";"39,2";"71";"49,6";"60,8";"69,6";"69,5";"84,6";"62"
"ANAPYR";"experimenter";"experimenter";"count_TRUE";"26";"44";"0";"24";"17";"60";"65";"0";"39";"58"
"ANAPYR";"experimenter";"experimenter";"occupied_cells_TRUE";"16";"34";"0";"19";"15";"46";"50";"0";"30";"41"
"ANAPYR";"experimenter";"experimenter";"height_B2";"23,5";"17,7";"15,6";"28,7";"0";"25";"30,3";"8,9";"22,1";"10,9"
"ANAPYR";"experimenter";"experimenter";"height_E2";"7,4";"17,4";"13,7";"17,6";"20,8";"28,4";"14,4";"17";"15,6";"10,7"
"ANAPYR";"experimenter";"experimenter";"height_H2";"6,6";"11,3";"10,1";"22";"19,4";"26";"31,8";"21,1";"22,3";"12,8"
"ANAPYR";"experimenter";"experimenter";"height_B5";"20,4";"4,3";"33,8";"23,3";"13,2";"24,3";"6,9";"22,2";"23,2";"8,6"
"ANAPYR";"experimenter";"experimenter";"height_E5";"17,3";"0";"18,6";"22,3";"22";"23,4";"19,3";"8,4";"30,4";"6,9"
"ANAPYR";"experimenter";"experimenter";"height_H5";"20,1";"24,6";"8,3";"38,1";"24,5";"18,9";"5";"11,6";"20,5";"5,4"
"ANAPYR";"experimenter";"experimenter";"height_B8";"13,3";"20,4";"7";"18";"3,3";"16,6";"11,4";"34,9";"22";"22,5"
"ANAPYR";"experimenter";"experimenter";"height_E8";"39,5";"19,8";"30,2";"13,8";"20";"19,1";"10,4";"20,3";"12,9";"5,5"
"ANAPYR";"experimenter";"experimenter";"height_H8";"27,2";"14,5";"23,7";"28,9";"20,4";"25,3";"9,1";"18,6";"15,6";"16,2"
"ANAPYR";"obs_rfen";"A";"count_30s";"7";"16";"0";"13";"6";"8";"22";"0";"12";"9"
"ANAPYR";"obs_rfen";"A";"count_1m";"10";"20";"0";"16";"7";"12";"25";"0";"12";"16"
"ANAPYR";"obs_rfen";"A";"counting_time_1m";"68";"127";"165";"158";"107";"127";"164";"115";"80";"90"
"ANAPYR";"obs_rfen";"A";"count_cells";"11";"23";"0";"15";"6";"17";"30";"0";"23";"31"
"ANAPYR";"obs_rfen";"A";"counting_time_cells";"453";"641";"235";"416";"302";"563";"565";"352";"735";"823"
"ANAPYR";"obs_aslf";"C";"count_30s";"8";"20";"0";"15";"6";"11";"31";"0";"11";"16"
"ANAPYR";"obs_aslf";"C";"count_1m";"14";"37";"0";"23";"14";"40";"59";"0";"19";"44"
"ANAPYR";"obs_aslf";"C";"counting_time_1m";"129";"192";"145";"134";"203";"295";"194";"75";"93";"128"
"ANAPYR";"obs_aslf";"C";"count_cells";"14";"39";"0";"22";"11";"41";"60";"0";"30";"60"
"ANAPYR";"obs_aslf";"C";"counting_time_cells";"358";"555";"189";"530";"390";"946";"774";"125";"474";"828"
"ANAPYR";"obs_xoto";"E";"count_30s";"12";"17";"0";"18";"6";"9";"26";"0";"14";"18"
"ANAPYR";"obs_xoto";"E";"count_1m";"13";"22";"1";"16";"9";"16";"30";"0";"17";"20"
"ANAPYR";"obs_xoto";"E";"counting_time_1m";"95";"93";"105";"78";"81";"121";"68";"111";"80";"110"
"ANAPYR";"obs_xoto";"E";"count_cells";"17";"32";"0";"19";"13";"34";"33";"0";"27";"45"
"ANAPYR";"obs_xoto";"E";"counting_time_cells";"627";"474";"396";"427";"810";"530";"690";"334";"405";"610"
"ANAPYR";"obs_yhzj";"G";"count_30s";"14";"29";"0";"18";"7";"25";"33";"0";"14";"13"
"ANAPYR";"obs_yhzj";"G";"count_1m";"12";"32";"0";"20";"11";"36";"45";"0";"21";"35"
"ANAPYR";"obs_yhzj";"G";"counting_time_1m";"69";"83";"67";"71";"55";"89";"82";"85";"76";"81"
"ANAPYR";"obs_yhzj";"G";"count_cells";"20";"35";"0";"20";"11";"48";"55";"0";"32";"42"
"ANAPYR";"obs_yhzj";"G";"counting_time_cells";"420";"341";"149";"205";"243";"665";"462";"120";"460";"518"
"ANAPYR";"obs_jdpu";"I";"count_30s";"15";"24";"0";"18";"8";"26";"43";"0";"16";"37"
"ANAPYR";"obs_jdpu";"I";"count_1m";"22";"38";"0";"22";"14";"42";"64";"0";"31";"49"
"ANAPYR";"obs_jdpu";"I";"counting_time_1m";"105";"110";"90";"90";"110";"118";"125";"115";"125";"105"
"ANAPYR";"obs_jdpu";"I";"count_cells";"24";"42";"0";"24";"11";"44";"65";"0";"29";"55"
"ANAPYR";"obs_jdpu";"I";"counting_time_cells";"565";"355";"135";"250";"234";"450";"440";"245";"400";"360"
"BRORUB";"experimenter";"experimenter";"vegetation_cover";"34";"32";"37";"25";"45";"35";"26";"76";"46";"24"
"BRORUB";"experimenter";"experimenter";"height_max";"14,8";"25,5";"33,1";"24,6";"24,6";"39,5";"25,1";"26,9";"19,4";"18,4"
"BRORUB";"experimenter";"experimenter";"count_TRUE";"83";"76";"5";"118";"8";"9";"295";"1";"81";"235"
"BRORUB";"experimenter";"experimenter";"occupied_cells_TRUE";"46";"41";"1";"45";"7";"8";"79";"1";"41";"57"
"BRORUB";"experimenter";"experimenter";"height_B2";"1";"2";"7,1";"0";"0";"25,6";"4,6";"9,6";"7,9";"5,4"
"BRORUB";"experimenter";"experimenter";"height_E2";"3,6";"3,6";"0";"1,3";"1,9";"2,6";"5,6";"4,8";"6,5";"4,2"
"BRORUB";"experimenter";"experimenter";"height_H2";"3,5";"1,3";"0";"2,5";"3,1";"22,8";"6,4";"6,3";"4,7";"3,1"
"BRORUB";"experimenter";"experimenter";"height_B5";"6,2";"4";"0";"0";"7,3";"7,1";"7,2";"9";"3,6";"7,3"
"BRORUB";"experimenter";"experimenter";"height_E5";"1,3";"6,7";"1,9";"0,7";"1,2";"1,6";"5,9";"8,2";"4";"3,9"
"BRORUB";"experimenter";"experimenter";"height_H5";"3,4";"2,6";"5,5";"1,1";"4,7";"2,5";"6,8";"4,2";"4,6";"3,6"
"BRORUB";"experimenter";"experimenter";"height_B8";"4,3";"0,9";"6,5";"6,3";"10,6";"3,5";"0,9";"1,9";"7,6";"1,6"
"BRORUB";"experimenter";"experimenter";"height_E8";"2,4";"2,5";"7,3";"4,9";"7,2";"8,3";"9,9";"7,8";"7,3";"4,9"
"BRORUB";"experimenter";"experimenter";"height_H8";"1,8";"4,4";"5";"1,4";"4,9";"0,9";"8,5";"2,2";"5,4";"2"
"BRORUB";"obs_autm";"A";"count_30s";"20";"15";"2";"30";"4";"5";"50";"1";"25";"40"
"BRORUB";"obs_autm";"A";"count_1m";"24";"27";"2";"36";"4";"5";"103";"1";"30";"72"
"BRORUB";"obs_autm";"A";"counting_time_1m";"90";"99";"43";"80";"64";"57";"155";"73";"70";"100"
"BRORUB";"obs_autm";"A";"count_cells";"69";"54";"3";"89";"6";"9";"241";"1";"72";"146"
"BRORUB";"obs_autm";"A";"counting_time_cells";"539";"774";"174";"669";"265";"319";"960";"149";"701";"610"
"BRORUB";"obs_tyds";"C";"count_30s";"25";"20";"2";"40";"1";"5";"45";"2";"20";"45"
"BRORUB";"obs_tyds";"C";"count_1m";"23";"31";"2";"34";"3";"6";"81";"1";"39";"107"
"BRORUB";"obs_tyds";"C";"counting_time_1m";"49";"68";"43";"59";"23";"34";"48";"57";"60";"73"
"BRORUB";"obs_tyds";"C";"count_cells";"68";"60";"4";"91";"9";"11";"242";"1";"65";"161"
"BRORUB";"obs_tyds";"C";"counting_time_cells";"334";"460";"142";"497";"300";"245";"643";"126";"290";"304"
"BRORUB";"obs_rsjk";"E";"count_30s";"15";"5";"2";"40";"2";"4";"85";"1";"25";"23"
"BRORUB";"obs_rsjk";"E";"count_1m";"24";"30";"3";"54";"4";"6";"35";"1";"21";"87"
"BRORUB";"obs_rsjk";"E";"counting_time_1m";"187";"232";"140";"175";"132";"109";"360";"216";"218";"212"
"BRORUB";"obs_rsjk";"E";"count_cells";"53";"26";"1";"94";"4";"6";"294";"0";"56";"147"
"BRORUB";"obs_rsjk";"E";"counting_time_cells";"681";"767";"425";"398";"370";"280";"2050";"299";"600";"872"
"BRORUB";"obs_hdlk";"G";"count_30s";"15";"8";"2";"45";"4";"3";"50";"1";"30";"25"
"BRORUB";"obs_hdlk";"G";"count_1m";"38";"10";"2";"72";"5";"10";"94";"1";"39";"45"
"BRORUB";"obs_hdlk";"G";"counting_time_1m";"91";"86";"42";"102";"78";"75";"138";"80";"89";"80"
"BRORUB";"obs_hdlk";"G";"count_cells";"85";"29";"3";"93";"8";"9";"179";"1";"71";"255"
"BRORUB";"obs_hdlk";"G";"counting_time_cells";"871";"500";"143";"303";"303";"313";"421";"308";"355";"2495"
"BRORUB";"obs_ziwg";"B";"count_30s";"23";"18";"2";"42";"2";"4";"59";"1";"39";"29"
"BRORUB";"obs_ziwg";"B";"count_1m";"36";"23";"2";"65";"4";"5";"103";"1";"40";"34"
"BRORUB";"obs_ziwg";"B";"counting_time_1m";"111";"103";"70";"160";"63";"67";"206";"95";"122";"106"
"BRORUB";"obs_ziwg";"B";"count_cells";"65";"58";"3";"78";"6";"9";"185";"1";"70";"178"
"BRORUB";"obs_ziwg";"B";"counting_time_cells";"570";"663";"384";"532";"382";"404";"941";"292";"695";"881"
"BRORUB";"obs_emom";"I";"count_30s";"18";"6";"2";"33";"6";"3";"40";"1";"12";"20"
"BRORUB";"obs_emom";"I";"count_1m";"45";"20";"2";"60";"3";"4";"115";"1";"32";"45"
"BRORUB";"obs_emom";"I";"counting_time_1m";"160";"80";"60";"100";"100";"105";"160";"70";"100";"90"
"BRORUB";"obs_emom";"I";"count_cells";"75";"57";"3";"97";"5";"6";"198";"1";"72";"154"
"BRORUB";"obs_emom";"I";"counting_time_cells";"1220";"1290";"110";"890";"245";"255";"990";"200";"1000";"668"
"CALARV2";"experimenter";"experimenter";"vegetation_cover";"70";"86";"89";"75";"87";"88";"84";"71";"96";"87"
"CALARV2";"experimenter";"experimenter";"height_max";"59";"15,5";"18,8";"23,8";"11,5";"18,9";"17,3";"12,2";"19,8";"17,5"
"CALARV2";"experimenter";"experimenter";"count_TRUE";"13";"20";"1";"68";"36";"31";"116";"0";"48";"27"
"CALARV2";"experimenter";"experimenter";"occupied_cells_TRUE";"8";"13";"1";"38";"21";"19";"58";"0";"34";"24"
"CALARV2";"experimenter";"experimenter";"height_B2";"0,8";"4,8";"4,4";"8,9";"2,8";"3,8";"3,2";"6,7";"3,9";"3,2"
"CALARV2";"experimenter";"experimenter";"height_E2";"1,9";"5";"4,7";"3,8";"3,1";"2,1";"2,9";"1,6";"5,1";"10,9"
"CALARV2";"experimenter";"experimenter";"height_H2";"0";"1,7";"5,5";"4,1";"2,9";"6,3";"2,4";"0";"3,9";"3,2"
"CALARV2";"experimenter";"experimenter";"height_B5";"1,6";"3";"3,8";"6,5";"4";"2,2";"0";"2,5";"3,7";"1,8"
"CALARV2";"experimenter";"experimenter";"height_E5";"3,6";"2,6";"3,3";"5,2";"3,9";"1,8";"3,6";"2,9";"3,8";"4,6"
"CALARV2";"experimenter";"experimenter";"height_H5";"51,5";"3,5";"6,1";"0,6";"3,4";"1,7";"2,5";"2,4";"7";"2,1"
"CALARV2";"experimenter";"experimenter";"height_B8";"3,4";"2,9";"2,7";"4,2";"0,6";"3,1";"2,1";"1,5";"4,2";"1"
"CALARV2";"experimenter";"experimenter";"height_E8";"1,7";"3,1";"4,7";"6,8";"2,7";"3";"5";"1,8";"5,6";"2,5"
"CALARV2";"experimenter";"experimenter";"height_H8";"4,3";"1,8";"6,4";"2,9";"3,1";"2,5";"5,2";"3,4";"3,7";"0,4"
"CALARV2";"obs_pizh";"A";"count_30s";"5";"14";"1";"30";"15";"9";"60";"0";"24";"33"
"CALARV2";"obs_pizh";"A";"count_1m";"8";"15";"1";"44";"20";"17";"78";"0";"36";"20"
"CALARV2";"obs_pizh";"A";"counting_time_1m";"48";"49";"33";"61";"55";"49";"81";"39";"74";"63"
"CALARV2";"obs_pizh";"A";"count_cells";"11";"15";"1";"58";"28";"17";"97";"0";"38";"24"
"CALARV2";"obs_pizh";"A";"counting_time_cells";"142";"178";"95";"432";"263";"212";"623";"58";"322";"289"
"CALARV2";"obs_cdgr";"C";"count_30s";"6";"14";"0";"18";"11";"9";"35";"0";"16";"17"
"CALARV2";"obs_cdgr";"C";"count_1m";"11";"14";"1";"45";"24";"17";"81";"0";"33";"21"
"CALARV2";"obs_cdgr";"C";"counting_time_1m";"61";"47";"35";"96";"78";"100";"160";"29";"56";"80"
